,animal,session,cluster ID,learning phase,category
128,BS_40,BS_40_2_AC.pickle,56,pre late,CR (enhanced)
129,BS_40,BS_40_2_AC.pickle,58,pre late,NCR
130,BS_40,BS_40_2_AC.pickle,61,pre late,CR (enhanced)
131,BS_40,BS_40_2_AC.pickle,65,pre late,CR (enhanced)
132,BS_40,BS_40_2_AC.pickle,66,pre late,CR (enhanced)
133,BS_40,BS_40_2_AC.pickle,67,pre late,CR (enhanced)
134,BS_40,BS_40_2_AC.pickle,70,pre late,NCR
135,BS_40,BS_40_2_AC.pickle,72,pre late,CR (enhanced)
136,BS_40,BS_40_2_AC.pickle,83,pre late,CR (enhanced)
137,BS_40,BS_40_2_AC.pickle,96,pre late,CR (enhanced)
138,BS_40,BS_40_2_AC.pickle,97,pre late,CR (suppressed)
139,BS_40,BS_40_2_AC.pickle,98,pre late,CR (enhanced)
140,BS_40,BS_40_2_AC.pickle,103,pre late,CR (enhanced)
141,BS_40,BS_40_2_AC.pickle,115,pre late,CR (enhanced)
142,BS_40,BS_40_2_AC.pickle,120,pre late,NCR
143,BS_40,BS_40_2_AC.pickle,122,pre late,NCR
144,BS_40,BS_40_2_AC.pickle,124,pre late,NCR
145,BS_40,BS_40_2_AC.pickle,133,pre late,NCR
146,BS_40,BS_40_2_AC.pickle,138,pre late,NCR
147,BS_40,BS_40_2_AC.pickle,142,pre late,NCR
148,BS_40,BS_40_2_AC.pickle,153,pre late,CR (enhanced)
149,BS_40,BS_40_2_AC.pickle,154,pre late,CR (enhanced)
150,BS_40,BS_40_2_AC.pickle,156,pre late,NCR
151,BS_40,BS_40_2_AC.pickle,162,pre late,NCR
152,BS_40,BS_40_2_AC.pickle,163,pre late,NCR
153,BS_40,BS_40_2_AC.pickle,164,pre late,CR (suppressed)
154,BS_40,BS_40_2_AC.pickle,165,pre late,NCR
155,BS_40,BS_40_2_AC.pickle,166,pre late,NCR
156,BS_40,BS_40_2_AC.pickle,178,pre late,NCR
157,BS_40,BS_40_2_AC.pickle,184,pre late,NCR
158,BS_40,BS_40_2_AC.pickle,188,pre late,NCR
159,BS_40,BS_40_2_AC.pickle,189,pre late,CR (enhanced)
160,BS_40,BS_40_2_AC.pickle,190,pre late,NCR
161,BS_40,BS_40_2_AC.pickle,194,pre late,CR (enhanced)
162,BS_40,BS_40_2_AC.pickle,195,pre late,CR (enhanced)
163,BS_40,BS_40_2_AC.pickle,201,pre late,NCR
164,BS_40,BS_40_2_AC.pickle,204,pre late,NCR
165,BS_40,BS_40_2_AC.pickle,206,pre late,CR (enhanced)
166,BS_40,BS_40_2_AC.pickle,210,pre late,CR (enhanced)
167,BS_40,BS_40_2_AC.pickle,211,pre late,NCR
168,BS_40,BS_40_2_AC.pickle,212,pre late,CR (enhanced)
169,BS_40,BS_40_2_AC.pickle,213,pre late,NCR
170,BS_40,BS_40_2_AC.pickle,222,pre late,NCR
171,BS_40,BS_40_2_AC.pickle,225,pre late,CR (enhanced)
172,BS_40,BS_40_2_AC.pickle,230,pre late,CR (suppressed)
173,BS_40,BS_40_2_AC.pickle,231,pre late,NCR
174,BS_40,BS_40_3_AC.pickle,0,pre late,CR (suppressed)
175,BS_40,BS_40_3_AC.pickle,10,pre late,NCR
176,BS_40,BS_40_3_AC.pickle,14,pre late,CR (enhanced)
177,BS_40,BS_40_3_AC.pickle,15,pre late,CR (enhanced)
178,BS_40,BS_40_3_AC.pickle,23,pre late,CR (enhanced)
179,BS_40,BS_40_3_AC.pickle,24,pre late,NCR
180,BS_40,BS_40_3_AC.pickle,30,pre late,NCR
181,BS_40,BS_40_3_AC.pickle,33,pre late,NCR
182,BS_40,BS_40_3_AC.pickle,36,pre late,NCR
183,BS_40,BS_40_3_AC.pickle,37,pre late,NCR
184,BS_40,BS_40_3_AC.pickle,53,pre late,NCR
185,BS_40,BS_40_3_AC.pickle,54,pre late,NCR
186,BS_40,BS_40_3_AC.pickle,57,pre late,CR (enhanced)
187,BS_40,BS_40_3_AC.pickle,61,pre late,NCR
188,BS_40,BS_40_3_AC.pickle,71,pre late,NCR
189,BS_40,BS_40_3_AC.pickle,76,pre late,NCR
190,BS_40,BS_40_3_AC.pickle,81,pre late,CR (enhanced)
191,BS_40,BS_40_3_AC.pickle,84,pre late,NCR
192,BS_40,BS_40_3_AC.pickle,105,pre late,NCR
193,BS_40,BS_40_3_AC.pickle,108,pre late,NCR
194,BS_40,BS_40_3_AC.pickle,109,pre late,NCR
195,BS_40,BS_40_3_AC.pickle,111,pre late,CR (enhanced)
196,BS_40,BS_40_3_AC.pickle,114,pre late,CR (enhanced)
197,BS_40,BS_40_3_AC.pickle,115,pre late,CR (enhanced)
198,BS_40,BS_40_3_AC.pickle,121,pre late,CR (enhanced)
199,BS_40,BS_40_3_AC.pickle,140,pre late,NCR
200,BS_40,BS_40_3_AC.pickle,145,pre late,NCR
201,BS_40,BS_40_3_AC.pickle,151,pre late,NCR
202,BS_40,BS_40_3_AC.pickle,155,pre late,CR (enhanced)
203,BS_40,BS_40_4_AC.pickle,0,pre late,NCR
204,BS_40,BS_40_4_AC.pickle,1,pre late,NCR
205,BS_40,BS_40_4_AC.pickle,7,pre late,NCR
206,BS_40,BS_40_4_AC.pickle,9,pre late,NCR
207,BS_40,BS_40_4_AC.pickle,10,pre late,NCR
208,BS_40,BS_40_4_AC.pickle,15,pre late,CR (enhanced)
209,BS_40,BS_40_4_AC.pickle,18,pre late,CR (enhanced)
210,BS_40,BS_40_4_AC.pickle,29,pre late,CR (enhanced)
211,BS_40,BS_40_5_AC.pickle,5,pre late,NCR
212,BS_40,BS_40_5_AC.pickle,21,pre late,NCR
213,BS_40,BS_40_5_AC.pickle,22,pre late,NCR
214,BS_40,BS_40_5_AC.pickle,27,pre late,CR (enhanced)
215,BS_40,BS_40_6_AC.pickle,4,pre late,NCR
216,BS_40,BS_40_6_AC.pickle,7,pre late,NCR
217,BS_40,BS_40_6_AC.pickle,10,pre late,NCR
218,BS_40,BS_40_6_AC.pickle,11,pre late,NCR
219,BS_40,BS_40_6_AC.pickle,15,pre late,CR (enhanced)
220,BS_40,BS_40_6_AC.pickle,21,pre late,NCR
221,BS_40,BS_40_6_AC.pickle,24,pre late,CR (enhanced)
222,BS_40,BS_40_6_AC.pickle,25,pre late,NCR
223,BS_40,BS_40_6_AC.pickle,26,pre late,NCR
224,BS_40,BS_40_6_AC.pickle,27,pre late,NCR
225,BS_40,BS_40_7_AC.pickle,23,pre late,CR (suppressed)
226,BS_40,BS_40_7_AC.pickle,33,pre late,CR (suppressed)
227,BS_40,BS_40_7_AC.pickle,36,pre late,NCR
228,BS_40,BS_40_7_AC.pickle,85,pre late,NCR
229,BS_40,BS_40_8_AC.pickle,6,pre late,NCR
230,BS_40,BS_40_8_AC.pickle,25,pre late,NCR
231,BS_40,BS_40_8_AC.pickle,33,pre late,NCR
232,BS_40,BS_40_8_AC.pickle,34,pre late,NCR
233,BS_40,BS_40_8_AC.pickle,40,pre late,NCR
234,BS_40,BS_40_8_AC.pickle,44,pre late,NCR
235,BS_40,BS_40_8_AC.pickle,45,pre late,NCR
236,BS_40,BS_40_8_AC.pickle,48,pre late,NCR
237,BS_41,BS_41_2_AC.pickle,10,post early,NCR
238,BS_41,BS_41_2_AC.pickle,23,post early,NCR
239,BS_41,BS_41_2_AC.pickle,52,post early,CR (enhanced)
240,BS_41,BS_41_2_AC.pickle,55,post early,CR (enhanced)
241,BS_41,BS_41_2_AC.pickle,70,post early,NCR
242,BS_41,BS_41_2_AC.pickle,119,post early,NCR
243,BS_41,BS_41_2_AC.pickle,155,post early,NCR
244,BS_41,BS_41_2_AC.pickle,200,post early,CR (enhanced)
245,BS_41,BS_41_2_AC.pickle,210,post early,NCR
246,BS_41,BS_41_2_AC.pickle,236,post early,CR (enhanced)
247,BS_41,BS_41_4_AC.pickle,0,post late,NCR
248,BS_41,BS_41_4_AC.pickle,6,post late,CR (suppressed)
249,BS_41,BS_41_4_AC.pickle,8,post late,CR (suppressed)
250,BS_41,BS_41_4_AC.pickle,10,post late,NCR
251,BS_41,BS_41_4_AC.pickle,17,post late,NCR
252,BS_41,BS_41_4_AC.pickle,19,post late,CR (enhanced)
253,BS_41,BS_41_4_AC.pickle,20,post late,NCR
254,BS_41,BS_41_4_AC.pickle,21,post late,CR (enhanced)
255,BS_41,BS_41_4_AC.pickle,38,post late,NCR
256,BS_41,BS_41_4_AC.pickle,55,post late,CR (suppressed)
257,BS_41,BS_41_4_AC.pickle,57,post late,CR (enhanced)
258,BS_41,BS_41_4_AC.pickle,64,post late,CR (enhanced)
259,BS_41,BS_41_4_AC.pickle,66,post late,CR (enhanced)
260,BS_41,BS_41_4_AC.pickle,72,post late,NCR
261,BS_41,BS_41_4_AC.pickle,73,post late,CR (enhanced)
262,BS_41,BS_41_4_AC.pickle,77,post late,NCR
263,BS_41,BS_41_4_AC.pickle,84,post late,NCR
264,BS_41,BS_41_4_AC.pickle,87,post late,NCR
265,BS_41,BS_41_4_AC.pickle,95,post late,NCR
266,BS_41,BS_41_4_AC.pickle,96,post late,NCR
267,BS_41,BS_41_4_AC.pickle,97,post late,NCR
268,BS_41,BS_41_4_AC.pickle,100,post late,NCR
269,BS_41,BS_41_4_AC.pickle,101,post late,CR (suppressed)
270,BS_41,BS_41_4_AC.pickle,109,post late,CR (suppressed)
271,BS_41,BS_41_4_AC.pickle,110,post late,CR (enhanced)
272,BS_41,BS_41_4_AC.pickle,114,post late,NCR
273,BS_41,BS_41_4_AC.pickle,115,post late,CR (enhanced)
274,BS_41,BS_41_4_AC.pickle,117,post late,CR (enhanced)
275,BS_41,BS_41_4_AC.pickle,119,post late,NCR
276,BS_41,BS_41_5_AC.pickle,2,post late,CR (suppressed)
277,BS_41,BS_41_5_AC.pickle,6,post late,NCR
278,BS_41,BS_41_5_AC.pickle,13,post late,CR (enhanced)
