,animal,session,cluster ID,Choice modulation,depth
148,BS_40,BS_40_2_AC.pickle,153,0.3174603174603174,0.545
149,BS_40,BS_40_2_AC.pickle,154,1.0034013605442176,0.545
150,BS_40,BS_40_2_AC.pickle,156,0.40767386091127106,0.1325
151,BS_40,BS_40_2_AC.pickle,162,0.8928571428571431,0.2075
152,BS_40,BS_40_2_AC.pickle,163,1.2840136054421765,0.195
153,BS_40,BS_40_2_AC.pickle,164,1.6582914572864325,0.3825
154,BS_40,BS_40_2_AC.pickle,165,1.4625850340136055,0.395
155,BS_40,BS_40_2_AC.pickle,166,2.4064625850340136,0.395
156,BS_40,BS_40_2_AC.pickle,178,9.733462133700002e-17,0.195
157,BS_40,BS_40_2_AC.pickle,184,0.4144144144144145,0.295
158,BS_40,BS_40_2_AC.pickle,188,1.2074829931972788,0.2075
159,BS_40,BS_40_2_AC.pickle,189,2.3299319727891152,0.27
160,BS_40,BS_40_2_AC.pickle,190,0.08450704225352125,0.295
161,BS_40,BS_40_2_AC.pickle,194,8.214285714285714,0.345
162,BS_40,BS_40_2_AC.pickle,195,1.0034013605442174,0.42
163,BS_40,BS_40_2_AC.pickle,201,1.768707482993197,0.345
164,BS_40,BS_40_2_AC.pickle,204,0.6207482993197273,0.195
165,BS_40,BS_40_2_AC.pickle,206,4.787414965986394,0.445
166,BS_40,BS_40_2_AC.pickle,210,0.48327137546468435,0.595
167,BS_40,BS_40_2_AC.pickle,211,0.195258019525802,0.6575
168,BS_40,BS_40_2_AC.pickle,212,0.4081632653061223,0.72
169,BS_40,BS_40_2_AC.pickle,213,2.1683673469387754,0.1325
170,BS_40,BS_40_2_AC.pickle,222,0.36484245439469326,0.17
171,BS_40,BS_40_2_AC.pickle,225,5.331632653061225,0.545
172,BS_40,BS_40_2_AC.pickle,230,1.7857142857142863,0.2075
173,BS_40,BS_40_2_AC.pickle,231,0.7908163265306121,0.545
174,BS_40,BS_40_3_AC.pickle,0,3.980213089802131,0.7065
175,BS_40,BS_40_3_AC.pickle,10,0.5327245053272449,0.619
176,BS_40,BS_40_3_AC.pickle,14,2.343987823439878,0.6565
177,BS_40,BS_40_3_AC.pickle,15,1.1111111111111114,0.6315
178,BS_40,BS_40_3_AC.pickle,23,0.6919831223628693,0.794
179,BS_40,BS_40_3_AC.pickle,24,0.5190311418685122,0.794
180,BS_40,BS_40_3_AC.pickle,30,0.432780847145488,0.7065
181,BS_40,BS_40_3_AC.pickle,33,1.1111111111111112,0.694
182,BS_40,BS_40_3_AC.pickle,36,2.1821305841924397,0.7315
183,BS_40,BS_40_3_AC.pickle,37,0.015220700152207101,0.7315
184,BS_40,BS_40_3_AC.pickle,53,0.6240487062404872,0.319
185,BS_40,BS_40_3_AC.pickle,54,0.17811704834605593,0.319
186,BS_40,BS_40_3_AC.pickle,57,0.8295281582952817,0.319
187,BS_40,BS_40_3_AC.pickle,61,1.0144927536231882,0.219
188,BS_40,BS_40_3_AC.pickle,71,0.43378995433789946,0.494
189,BS_40,BS_40_3_AC.pickle,76,0.5943152454780359,0.5315
190,BS_40,BS_40_3_AC.pickle,81,4.764079147640791,0.519
191,BS_40,BS_40_3_AC.pickle,84,0.11415525114155275,0.5565
192,BS_40,BS_40_3_AC.pickle,105,0.6731813246471225,0.2815
193,BS_40,BS_40_3_AC.pickle,108,0.14459665144596656,0.2565
194,BS_40,BS_40_3_AC.pickle,109,1.6129032258064515,0.2565
195,BS_40,BS_40_3_AC.pickle,111,1.3963963963963966,0.0815
196,BS_40,BS_40_3_AC.pickle,114,0.5269186712485684,0.2315
197,BS_40,BS_40_3_AC.pickle,115,1.3683127572016465,0.2315
198,BS_40,BS_40_3_AC.pickle,121,8.458842092382146e-18,0.1565
