,animal,session,cluster,p value
166,BS_41,BS_41_7_AC.pickle,0,0.4072704035301833
167,BS_41,BS_41_7_AC.pickle,24,0.00030466155372120145
168,BS_41,BS_41_7_AC.pickle,36,0.0034394012593159697
169,BS_41,BS_41_7_AC.pickle,50,0.724026867112112
170,BS_41,BS_41_7_AC.pickle,54,0.39719165306989446
171,BS_41,BS_41_7_AC.pickle,57,0.004625824331468651
172,BS_41,BS_41_7_AC.pickle,59,1.657885359518329e-05
173,BS_41,BS_41_7_AC.pickle,62,1.0
174,BS_41,BS_41_7_AC.pickle,63,0.4996491430891067
175,BS_41,BS_41_7_AC.pickle,64,0.0021163491370733045
176,BS_41,BS_41_8_AC.pickle,13,0.564303343103749
177,BS_41,BS_41_8_AC.pickle,15,0.5994393226505026
178,BS_41,BS_41_8_AC.pickle,16,0.018951559387887274
179,BS_41,BS_41_8_AC.pickle,25,0.8022783831905199
180,BS_41,BS_41_8_AC.pickle,40,0.48295275445371333
181,BS_41,BS_41_8_AC.pickle,59,0.8660762519733449
182,BS_41,BS_41_8_AC.pickle,60,0.21119278541823414
183,BS_41,BS_41_8_AC.pickle,67,0.7146758483708326
184,BS_41,BS_41_8_AC.pickle,69,0.49480509168710174
185,BS_41,BS_41_8_AC.pickle,77,0.3628140070009245
186,BS_41,BS_41_8_AC.pickle,79,1.0
187,BS_41,BS_41_8_AC.pickle,82,0.12128034738283378
188,BS_41,BS_41_9_AC.pickle,3,0.3237237941293216
189,BS_41,BS_41_9_AC.pickle,24,0.2798945300886828
190,BS_41,BS_41_9_AC.pickle,37,0.7554709080587236
191,BS_41,BS_41_9_AC.pickle,80,0.738079544280726
192,BS_41,BS_41_9_AC.pickle,102,0.0011198055939547205
193,BS_41,BS_41_9_AC.pickle,103,0.7484701631336119
194,BS_41,BS_41_9_AC.pickle,109,0.9601812577965259
195,BS_42,BS_42_10_AC.pickle,8,0.7283450020327016
196,BS_42,BS_42_10_AC.pickle,11,0.007110986183783645
197,BS_42,BS_42_10_AC.pickle,26,6.298365032576908e-05
198,BS_42,BS_42_11_AC.pickle,1,0.7806755404005687
199,BS_42,BS_42_11_AC.pickle,44,0.5403584609506944
200,BS_42,BS_42_11_AC.pickle,48,0.5942231039000021
201,BS_42,BS_42_2_AC.pickle,3,0.11753651794574993
202,BS_42,BS_42_2_AC.pickle,5,0.713354547425875
