,animal,session,cluster ID,phase,condition,FR modulation
246,BS_40,BS_40_8_AC.pickle,48,pre late,behaving,0.2802359882005899
247,BS_41,BS_41_2_AC.pickle,10,post early,behaving,1.456200227531286
248,BS_41,BS_41_2_AC.pickle,23,post early,behaving,1.5532286212914481
249,BS_41,BS_41_2_AC.pickle,52,post early,behaving,27.225130890052355
250,BS_41,BS_41_2_AC.pickle,55,post early,behaving,5.543478260869565
251,BS_41,BS_41_2_AC.pickle,70,post early,behaving,0.593368237347295
252,BS_41,BS_41_2_AC.pickle,119,post early,behaving,1.1343804537521804
253,BS_41,BS_41_2_AC.pickle,155,post early,behaving,2.494004796163069
254,BS_41,BS_41_2_AC.pickle,200,post early,behaving,5.657492354740061
255,BS_41,BS_41_2_AC.pickle,210,post early,behaving,0.9249563699825483
256,BS_41,BS_41_2_AC.pickle,236,post early,behaving,5.222222222222222
257,BS_41,BS_41_4_AC.pickle,0,post late,behaving,1.6921508664627924
258,BS_41,BS_41_4_AC.pickle,6,post late,behaving,6.8956743002544485
259,BS_41,BS_41_4_AC.pickle,8,post late,behaving,4.133333333333334
260,BS_41,BS_41_4_AC.pickle,10,post late,behaving,1.90871369294606
261,BS_41,BS_41_4_AC.pickle,17,post late,behaving,1.1323155216284988
262,BS_41,BS_41_4_AC.pickle,19,post late,behaving,14.96183206106869
263,BS_41,BS_41_4_AC.pickle,20,post late,behaving,3.1424936386768474
264,BS_41,BS_41_4_AC.pickle,21,post late,behaving,4.8074369189907005
265,BS_41,BS_41_4_AC.pickle,38,post late,behaving,1.1195928753180684
266,BS_41,BS_41_4_AC.pickle,55,post late,behaving,3.829516539440207
267,BS_41,BS_41_4_AC.pickle,57,post late,behaving,12.60814249363868
268,BS_41,BS_41_4_AC.pickle,64,post late,behaving,5.343511450381697
269,BS_41,BS_41_4_AC.pickle,66,post late,behaving,4.147582697201017
270,BS_41,BS_41_4_AC.pickle,72,post late,behaving,2.5572519083969483
271,BS_41,BS_41_4_AC.pickle,73,post late,behaving,5.979643765903314
272,BS_41,BS_41_4_AC.pickle,77,post late,behaving,1.4122137404580175
273,BS_41,BS_41_4_AC.pickle,84,post late,behaving,1.4376590330788803
274,BS_41,BS_41_4_AC.pickle,87,post late,behaving,1.8984547461368655
275,BS_41,BS_41_4_AC.pickle,95,post late,behaving,2.4300254452926198
276,BS_41,BS_41_4_AC.pickle,96,post late,behaving,3.2569974554707333
277,BS_41,BS_41_4_AC.pickle,97,post late,behaving,0.512820512820513
278,BS_41,BS_41_4_AC.pickle,100,post late,behaving,0.9629629629629626
279,BS_41,BS_41_4_AC.pickle,101,post late,behaving,7.137404580152674
280,BS_41,BS_41_4_AC.pickle,109,post late,behaving,3.7150127226463154
281,BS_41,BS_41_4_AC.pickle,110,post late,behaving,3.9312977099236615
282,BS_41,BS_41_4_AC.pickle,114,post late,behaving,0.8905852417302781
283,BS_41,BS_41_4_AC.pickle,115,post late,behaving,6.22137404580154
284,BS_41,BS_41_4_AC.pickle,117,post late,behaving,9.707379134860044
285,BS_41,BS_41_4_AC.pickle,119,post late,behaving,3.3842239185750564
286,BS_41,BS_41_5_AC.pickle,2,post late,behaving,3.881188118811891
287,BS_41,BS_41_5_AC.pickle,6,post late,behaving,1.6986301369863024
288,BS_41,BS_41_5_AC.pickle,13,post late,behaving,7.492354740061158
289,BS_41,BS_41_5_AC.pickle,15,post late,behaving,2.587064676616916
290,BS_41,BS_41_5_AC.pickle,67,post late,behaving,1.629629629629632
291,BS_41,BS_41_5_AC.pickle,68,post late,behaving,2.9226361031518597
292,BS_41,BS_41_5_AC.pickle,73,post late,behaving,7.102310231023097
293,BS_41,BS_41_5_AC.pickle,74,post late,behaving,4.543524416135881
294,BS_41,BS_41_5_AC.pickle,85,post late,behaving,1.6312056737588698
295,BS_41,BS_41_6_AC.pickle,1,post late,behaving,3.7472035794183456
296,BS_41,BS_41_6_AC.pickle,3,post late,behaving,12.114093959731518
297,BS_41,BS_41_6_AC.pickle,6,post late,behaving,0.5591397849462366
298,BS_41,BS_41_6_AC.pickle,7,post late,behaving,7.483221476510067
299,BS_41,BS_41_6_AC.pickle,32,post late,behaving,1.4100185528756946
300,BS_41,BS_41_7_AC.pickle,0,post late,behaving,2.011494252873561
301,BS_41,BS_41_7_AC.pickle,24,post late,behaving,5.755919854280489
302,BS_41,BS_41_7_AC.pickle,36,post late,behaving,5.101906640368181
303,BS_41,BS_41_7_AC.pickle,39,post late,behaving,1.0644257703081232
304,BS_41,BS_41_7_AC.pickle,50,post late,behaving,1.3308913308913324
305,BS_41,BS_41_7_AC.pickle,54,post late,behaving,3.1724137931034457
306,BS_41,BS_41_7_AC.pickle,55,post late,behaving,1.3218390804597726
307,BS_41,BS_41_7_AC.pickle,57,post late,behaving,1.1839080459770113
308,BS_41,BS_41_7_AC.pickle,59,post late,behaving,10.240295748613654
309,BS_41,BS_41_7_AC.pickle,62,post late,behaving,3.238993710691824
