,animal,session,cluster ID,learning phase,FR modulation,decoding performance,significant rel. synth. control
117,BS_40,BS_40_22_AC.pickle,11,post expert,9.047619047619046,0.549104478,True
118,BS_40,BS_40_22_AC.pickle,13,post expert,0.9696969696969694,0.462551038,True
119,BS_40,BS_40_2_AC.pickle,4,pre late,3.8095238095238115,0.520170199,True
120,BS_40,BS_40_2_AC.pickle,15,pre late,3.010204081632654,0.556837026,True
121,BS_40,BS_40_2_AC.pickle,18,pre late,3.911564625850337,0.525384913,True
122,BS_40,BS_40_2_AC.pickle,30,pre late,1.071428571428571,0.543727233,True
123,BS_40,BS_40_2_AC.pickle,33,pre late,4.0102171136653935,0.546645846,True
124,BS_40,BS_40_2_AC.pickle,43,pre late,2.389486260454004,0.551517947,True
125,BS_40,BS_40_2_AC.pickle,45,pre late,1.9853709508881925,0.52212491,True
126,BS_40,BS_40_2_AC.pickle,46,pre late,5.425170068027217,0.54835135,True
127,BS_40,BS_40_2_AC.pickle,51,pre late,1.9387755102040793,0.509847211,True
128,BS_40,BS_40_2_AC.pickle,56,pre late,4.63980463980464,0.528418476,True
129,BS_40,BS_40_2_AC.pickle,58,pre late,1.9557823129251726,0.467663218,True
130,BS_40,BS_40_2_AC.pickle,61,pre late,14.625850340136058,0.654878053,True
131,BS_40,BS_40_2_AC.pickle,65,pre late,3.962585034013606,0.53128844,True
132,BS_40,BS_40_2_AC.pickle,66,pre late,8.231292517006809,0.581267813,True
133,BS_40,BS_40_2_AC.pickle,67,pre late,6.484848484848485,0.562483466,True
134,BS_40,BS_40_2_AC.pickle,70,pre late,2.857142857142856,0.531241157,True
135,BS_40,BS_40_2_AC.pickle,72,pre late,5.357142857142855,0.500233648,False
136,BS_40,BS_40_2_AC.pickle,83,pre late,6.445578231292519,0.523212057,True
137,BS_40,BS_40_2_AC.pickle,96,pre late,27.6360544217687,,False
138,BS_40,BS_40_2_AC.pickle,97,pre late,3.89455782312926,0.551294166,True
139,BS_40,BS_40_2_AC.pickle,98,pre late,13.163265306122444,0.526970573,True
140,BS_40,BS_40_2_AC.pickle,103,pre late,18.82653061224488,0.641649624,True
141,BS_40,BS_40_2_AC.pickle,115,pre late,10.26365348399247,0.619029525,True
142,BS_40,BS_40_2_AC.pickle,120,pre late,0.9369369369369368,0.529935656,True
143,BS_40,BS_40_2_AC.pickle,122,pre late,2.857142857142857,0.607285714,True
144,BS_40,BS_40_2_AC.pickle,124,pre late,1.7176870748299315,0.544302993,True
145,BS_40,BS_40_2_AC.pickle,133,pre late,2.9421768707482996,0.4963884,False
146,BS_40,BS_40_2_AC.pickle,138,pre late,0.8516886930983848,0.542481472,True
147,BS_40,BS_40_2_AC.pickle,142,pre late,1.7886178861788615,0.529191855,True
148,BS_40,BS_40_2_AC.pickle,153,pre late,7.579365079365079,0.616369217,True
149,BS_40,BS_40_2_AC.pickle,154,pre late,6.51360544217687,0.499561985,False
150,BS_40,BS_40_2_AC.pickle,156,pre late,0.671462829736211,0.442579149,True
151,BS_40,BS_40_2_AC.pickle,162,pre late,2.959183673469385,0.52515254,True
152,BS_40,BS_40_2_AC.pickle,163,pre late,1.2074829931972804,0.460706309,True
153,BS_40,BS_40_2_AC.pickle,164,pre late,4.221105527638188,0.512127536,True
154,BS_40,BS_40_2_AC.pickle,165,pre late,1.9727891156462543,0.533040464,True
155,BS_40,BS_40_2_AC.pickle,166,pre late,1.7176870748299329,0.59733839,True
156,BS_40,BS_40_2_AC.pickle,178,pre late,0.9589041095890413,0.525219048,True
157,BS_40,BS_40_2_AC.pickle,184,pre late,0.7387387387387389,0.510170655,True
158,BS_40,BS_40_2_AC.pickle,188,pre late,2.0238095238095264,0.511500746,False
159,BS_40,BS_40_2_AC.pickle,189,pre late,9.727891156462585,0.539868979,True
160,BS_40,BS_40_2_AC.pickle,190,pre late,3.267605633802817,0.558548718,True
161,BS_40,BS_40_2_AC.pickle,194,pre late,11.326530612244886,0.567547071,True
162,BS_40,BS_40_2_AC.pickle,195,pre late,10.850340136054427,0.634323742,True
163,BS_40,BS_40_2_AC.pickle,201,pre late,3.0442176870748288,0.589382113,True
164,BS_40,BS_40_2_AC.pickle,204,pre late,2.568027210884353,0.521037539,True
165,BS_40,BS_40_2_AC.pickle,206,pre late,8.588435374149663,0.59174157,True
166,BS_40,BS_40_2_AC.pickle,210,pre late,12.862453531598513,0.499382521,False
167,BS_40,BS_40_2_AC.pickle,211,pre late,2.482566248256626,0.501787145,False
168,BS_40,BS_40_2_AC.pickle,212,pre late,8.418367346938783,0.547222593,True
169,BS_40,BS_40_2_AC.pickle,213,pre late,1.1224489795918366,0.514992808,False
170,BS_40,BS_40_2_AC.pickle,222,pre late,1.5257048092868986,0.560341999,True
171,BS_40,BS_40_2_AC.pickle,225,pre late,28.21428571428572,0.613438677,True
172,BS_40,BS_40_2_AC.pickle,230,pre late,7.908163265306132,0.559113632,True
173,BS_40,BS_40_2_AC.pickle,231,pre late,2.857142857142857,0.57895094,True
174,BS_40,BS_40_3_AC.pickle,0,pre late,7.245053272450523,0.53134866,True
175,BS_40,BS_40_3_AC.pickle,10,pre late,3.1354642313546384,0.514142284,False
176,BS_40,BS_40_3_AC.pickle,14,pre late,11.430745814307462,0.573011663,True
177,BS_40,BS_40_3_AC.pickle,15,pre late,14.961948249619475,0.583933702,True
178,BS_40,BS_40_3_AC.pickle,23,pre late,18.396624472573816,0.552760483,True
179,BS_40,BS_40_3_AC.pickle,24,pre late,2.906574394463669,0.515463034,True
180,BS_40,BS_40_3_AC.pickle,30,pre late,1.4548802946593007,0.496328879,False
181,BS_40,BS_40_3_AC.pickle,33,pre late,2.5665101721439747,0.582904744,True
182,BS_40,BS_40_3_AC.pickle,36,pre late,1.6151202749140892,0.623670046,True
183,BS_40,BS_40_3_AC.pickle,37,pre late,1.2024353120243538,0.552430661,True
184,BS_40,BS_40_3_AC.pickle,53,pre late,1.902587519025875,0.528685956,True
185,BS_40,BS_40_3_AC.pickle,54,pre late,1.3231552162849871,0.435623507,True
186,BS_40,BS_40_3_AC.pickle,57,pre late,13.850837138508362,0.578420223,True
187,BS_40,BS_40_3_AC.pickle,61,pre late,0.6666666666666667,0.542407688,True
188,BS_40,BS_40_3_AC.pickle,71,pre late,2.009132420091325,,False
189,BS_40,BS_40_3_AC.pickle,76,pre late,1.1886304909560725,0.56857919,True
190,BS_40,BS_40_3_AC.pickle,81,pre late,3.8051750380517504,0.562935954,True
191,BS_40,BS_40_3_AC.pickle,84,pre late,1.4611872146118712,0.551450966,True
192,BS_40,BS_40_3_AC.pickle,105,pre late,0.8903365906623235,0.460544155,True
193,BS_40,BS_40_3_AC.pickle,108,pre late,1.0350076103500765,0.489267318,True
194,BS_40,BS_40_3_AC.pickle,109,pre late,1.9354838709677418,0.517917426,True
195,BS_40,BS_40_3_AC.pickle,111,pre late,12.860360360360373,0.557005566,True
196,BS_40,BS_40_3_AC.pickle,114,pre late,15.34936998854525,0.564350076,True
197,BS_40,BS_40_3_AC.pickle,115,pre late,4.279835390946501,0.554080903,True
198,BS_40,BS_40_3_AC.pickle,121,pre late,12.571428571428571,,False
199,BS_40,BS_40_3_AC.pickle,140,pre late,0.18939393939393936,0.539173531,True
200,BS_40,BS_40_3_AC.pickle,145,pre late,3.432835820895522,0.4755396,True
201,BS_40,BS_40_3_AC.pickle,151,pre late,1.4840182648401823,0.601634737,True
202,BS_40,BS_40_3_AC.pickle,155,pre late,16.910197869101975,0.580236452,True
203,BS_40,BS_40_4_AC.pickle,0,pre late,1.3733333333333333,0.53127571,True
204,BS_40,BS_40_4_AC.pickle,1,pre late,1.12,0.548969188,True
205,BS_40,BS_40_4_AC.pickle,7,pre late,1.5600000000000005,0.531365346,True
206,BS_40,BS_40_4_AC.pickle,9,pre late,0.5599999999999994,0.493567827,False
207,BS_40,BS_40_4_AC.pickle,10,pre late,0.3733333333333331,0.518538615,True
208,BS_40,BS_40_4_AC.pickle,15,pre late,11.140939597315437,0.521726027,True
209,BS_40,BS_40_4_AC.pickle,18,pre late,18.91472868217054,0.563353606,True
210,BS_40,BS_40_4_AC.pickle,29,pre late,7.160000000000004,0.5970004,True
211,BS_40,BS_40_5_AC.pickle,5,pre late,0.7142857142857155,0.492732603,True
212,BS_40,BS_40_5_AC.pickle,21,pre late,0.3968253968253967,0.478923224,True
213,BS_40,BS_40_5_AC.pickle,22,pre late,1.5418023887079275,0.464055014,True
214,BS_40,BS_40_5_AC.pickle,27,pre late,15.003599712023021,0.544711227,True
215,BS_40,BS_40_6_AC.pickle,4,pre late,0.8281573498964798,0.50803168,False
216,BS_40,BS_40_6_AC.pickle,7,pre late,1.8697829716193657,0.58726705,True
217,BS_40,BS_40_6_AC.pickle,10,pre late,0.4563160823594876,0.549716557,True
218,BS_40,BS_40_6_AC.pickle,11,pre late,2.370617696160264,0.600402645,True
219,BS_40,BS_40_6_AC.pickle,15,pre late,15.859766277128557,0.637414702,True
220,BS_40,BS_40_6_AC.pickle,21,pre late,3.154362416107376,0.506107226,False
