,animal,session,cluster ID,Choice modulation,category
155,BS_40,BS_40_2_AC.pickle,166,2.4064625850340136,CR (enhanced)
156,BS_40,BS_40_2_AC.pickle,178,9.733462133700002e-17,Inconclusive
157,BS_40,BS_40_2_AC.pickle,184,0.4144144144144145,NCR
158,BS_40,BS_40_2_AC.pickle,188,1.2074829931972788,CR (enhanced)
159,BS_40,BS_40_2_AC.pickle,189,2.3299319727891152,CR (enhanced)
160,BS_40,BS_40_2_AC.pickle,190,0.08450704225352125,Inconclusive
161,BS_40,BS_40_2_AC.pickle,194,8.214285714285714,CR (enhanced)
162,BS_40,BS_40_2_AC.pickle,195,1.0034013605442174,Inconclusive
163,BS_40,BS_40_2_AC.pickle,201,1.768707482993197,CR (enhanced)
164,BS_40,BS_40_2_AC.pickle,204,0.6207482993197273,Inconclusive
165,BS_40,BS_40_2_AC.pickle,206,4.787414965986394,CR (enhanced)
166,BS_40,BS_40_2_AC.pickle,210,0.48327137546468435,CR (suppressed)
167,BS_40,BS_40_2_AC.pickle,211,0.195258019525802,Inconclusive
168,BS_40,BS_40_2_AC.pickle,212,0.4081632653061223,Inconclusive
169,BS_40,BS_40_2_AC.pickle,213,2.1683673469387754,CR (enhanced)
170,BS_40,BS_40_2_AC.pickle,222,0.36484245439469326,Inconclusive
171,BS_40,BS_40_2_AC.pickle,225,5.331632653061225,CR (enhanced)
172,BS_40,BS_40_2_AC.pickle,230,1.7857142857142863,CR (suppressed)
173,BS_40,BS_40_2_AC.pickle,231,0.7908163265306121,CR (enhanced)
174,BS_40,BS_40_3_AC.pickle,0,3.980213089802131,CR (suppressed)
175,BS_40,BS_40_3_AC.pickle,10,0.5327245053272449,CR (enhanced)
176,BS_40,BS_40_3_AC.pickle,14,2.343987823439878,CR (enhanced)
177,BS_40,BS_40_3_AC.pickle,15,1.1111111111111114,Inconclusive
178,BS_40,BS_40_3_AC.pickle,23,0.6919831223628693,Inconclusive
179,BS_40,BS_40_3_AC.pickle,24,0.5190311418685122,Inconclusive
180,BS_40,BS_40_3_AC.pickle,30,0.432780847145488,Inconclusive
181,BS_40,BS_40_3_AC.pickle,33,1.1111111111111112,CR (enhanced)
182,BS_40,BS_40_3_AC.pickle,36,2.1821305841924397,CR (enhanced)
183,BS_40,BS_40_3_AC.pickle,37,0.015220700152207101,Inconclusive
184,BS_40,BS_40_3_AC.pickle,53,0.6240487062404872,Inconclusive
185,BS_40,BS_40_3_AC.pickle,54,0.17811704834605593,Inconclusive
