,animal,session,cluster,p value
118,BS_40,BS_40_3_AC.pickle,155,0.14928025439540205
119,BS_40,BS_40_4_AC.pickle,0,0.22779327060337148
120,BS_40,BS_40_4_AC.pickle,7,0.5745124410455066
121,BS_40,BS_40_4_AC.pickle,9,0.7580141375473128
122,BS_40,BS_40_4_AC.pickle,10,0.3573149807276641
123,BS_40,BS_40_4_AC.pickle,15,0.8220203379807036
124,BS_40,BS_40_4_AC.pickle,18,0.3021919933157699
125,BS_40,BS_40_5_AC.pickle,5,0.24457820954894754
126,BS_40,BS_40_5_AC.pickle,27,0.5630199823818529
127,BS_40,BS_40_6_AC.pickle,4,0.3239259966153276
128,BS_40,BS_40_6_AC.pickle,7,0.9473075419145118
129,BS_40,BS_40_6_AC.pickle,10,0.16828496011817887
130,BS_40,BS_40_6_AC.pickle,11,0.2889542089212821
131,BS_40,BS_40_6_AC.pickle,15,0.17795838503952338
132,BS_40,BS_40_6_AC.pickle,21,0.41884245948491916
133,BS_40,BS_40_6_AC.pickle,24,0.0790002691769039
134,BS_40,BS_40_6_AC.pickle,25,1.0
135,BS_40,BS_40_6_AC.pickle,26,0.1216913938859856
136,BS_40,BS_40_6_AC.pickle,27,0.7293779878746826
137,BS_40,BS_40_7_AC.pickle,23,0.27560541319181914
138,BS_40,BS_40_7_AC.pickle,33,0.016749956795791512
139,BS_40,BS_40_7_AC.pickle,85,0.5790638572792348
140,BS_40,BS_40_8_AC.pickle,6,0.41567026491247316
141,BS_40,BS_40_8_AC.pickle,48,0.665876390511462
142,BS_41,BS_41_2_AC.pickle,10,0.19986817248452035
143,BS_41,BS_41_2_AC.pickle,119,0.5256169213629707
144,BS_41,BS_41_2_AC.pickle,155,1.0
145,BS_41,BS_41_4_AC.pickle,0,0.615096536639126
146,BS_41,BS_41_4_AC.pickle,6,0.5844839732486447
147,BS_41,BS_41_4_AC.pickle,10,0.8051607367760052
148,BS_41,BS_41_4_AC.pickle,17,0.027779462779964594
149,BS_41,BS_41_4_AC.pickle,19,0.6829488117635352
150,BS_41,BS_41_4_AC.pickle,20,0.07771898159224626
151,BS_41,BS_41_4_AC.pickle,38,0.1201304160168783
152,BS_41,BS_41_4_AC.pickle,55,0.034829202789400104
153,BS_41,BS_41_4_AC.pickle,57,0.09199372730050658
154,BS_41,BS_41_4_AC.pickle,64,0.5797285488650404
155,BS_41,BS_41_4_AC.pickle,66,0.19449841345616306
156,BS_41,BS_41_4_AC.pickle,73,0.00013985742080312565
157,BS_41,BS_41_4_AC.pickle,95,0.31593064635133844
