,animal,session,cluster ID,pre-switch 5k FR,post-switch 5k FR,pre-switch 11k FR,post-switch 11k FR
76,BS_41,BS_41_1_AC.pickle,338,5.4,2.142857142857143,7.2,5.454545454545454
77,BS_41,BS_41_1_AC.pickle,342,0.0,0.0,0.0,0.11363636363636363
78,BS_41,BS_41_1_AC.pickle,345,5.5,4.464285714285714,4.7,9.318181818181818
79,BS_41,BS_41_1_AC.pickle,346,0.1,2.6923076923076925,0.1,3.875
80,BS_41,BS_41_1_AC.pickle,352,3.4,0.44642857142857145,3.0,0.3409090909090909
81,BS_41,BS_41_1_AC.pickle,354,5.1,3.75,1.2,1.25
82,BS_41,BS_41_1_AC.pickle,359,36.9,32.232142857142854,23.5,15.0
83,BS_41,BS_41_1_AC.pickle,360,11.1,5.446428571428571,10.8,3.6363636363636362
84,BS_41,BS_41_1_AC.pickle,361,32.9,29.821428571428573,66.5,61.59090909090909
85,BS_41,BS_41_1_AC.pickle,363,0.6,1.25,1.9,5.568181818181818
86,BS_42,BS_42_1_AC.pickle,3,6.0,1.1538461538461537,6.0,0.5208333333333334
87,BS_42,BS_42_1_AC.pickle,21,7.1,8.75,5.1,5.104166666666667
88,BS_42,BS_42_1_AC.pickle,24,5.3,7.884615384615385,5.9,8.229166666666666
89,BS_42,BS_42_1_AC.pickle,53,2.0,3.8461538461538463,5.7,3.8541666666666665
90,BS_42,BS_42_1_AC.pickle,58,4.0,0.9,11.6,2.3958333333333335
91,BS_42,BS_42_1_AC.pickle,90,1.3636363636363635,1.7307692307692308,0.0,1.1458333333333333
92,BS_42,BS_42_1_AC.pickle,91,2.1,0.5102040816326531,3.5,0.7608695652173914
93,BS_70,BS_70_4_AC.pickle,15,4.2,7.288135593220339,4.4,6.219512195121951
94,BS_70,BS_70_4_AC.pickle,33,7.3,6.440677966101695,5.3,5.365853658536586
95,BS_72,BS_72_3_AC.pickle,0,5.3,5.471698113207547,3.1,2.021276595744681
96,BS_72,BS_72_3_AC.pickle,8,0.5,1.1320754716981132,0.2,0.2127659574468085
97,BS_72,BS_72_3_AC.pickle,12,6.6,3.490566037735849,6.6,3.5106382978723403
98,BS_72,BS_72_3_AC.pickle,15,2.2,2.7358490566037736,7.2,7.0212765957446805
99,BS_72,BS_72_3_AC.pickle,16,23.1,11.415094339622641,19.6,11.382978723404255
100,BS_72,BS_72_3_AC.pickle,17,3.7,7.264150943396227,2.6,3.5106382978723403
101,BS_72,BS_72_3_AC.pickle,18,1.8,4.622641509433962,3.0,4.042553191489362
102,BS_72,BS_72_3_AC.pickle,23,9.0,10.943396226415095,17.9,18.085106382978722
103,BS_72,BS_72_3_AC.pickle,25,22.9,7.3584905660377355,28.6,11.063829787234043
104,BS_72,BS_72_3_AC.pickle,31,3.0,6.132075471698113,37.2,48.08510638297872
105,BS_72,BS_72_3_AC.pickle,32,1.6666666666666667,2.452830188679245,4.615384615384615,10.319148936170214
106,BS_72,BS_72_3_AC.pickle,34,2.857142857142857,4.716981132075472,6.4,8.404255319148936
107,DS_15,DS_15_2_AC.pickle,4,1.4772727272727273,1.5454545454545454,2.111111111111111,6.111111111111111
108,DS_15,DS_15_2_AC.pickle,7,8.7,4.454545454545454,7.9,4.111111111111111
109,DS_15,DS_15_2_AC.pickle,47,1.9,0.7272727272727273,3.6,3.4444444444444446
110,DS_15,DS_15_2_AC.pickle,58,0.9,0.5,0.4,0.0
111,DS_19,DS_19_2_AC.pickle,2,3.0,2.0535714285714284,3.3,3.0681818181818183
112,DS_19,DS_19_2_AC.pickle,4,0.2,0.17857142857142858,0.6,0.11363636363636363
113,DS_19,DS_19_2_AC.pickle,10,19.4,16.607142857142858,20.1,18.977272727272727
114,DS_19,DS_19_2_AC.pickle,12,10.8,10.0,8.9,8.181818181818182
115,DS_19,DS_19_2_AC.pickle,16,5.0,2.857142857142857,2.0,3.1818181818181817
116,DS_19,DS_19_2_AC.pickle,17,53.8,31.875,63.9,46.02272727272727
117,DS_19,DS_19_2_AC.pickle,24,26.2,14.196428571428571,30.5,20.227272727272727
118,DS_19,DS_19_2_AC.pickle,27,1.7,2.5,2.4,3.2954545454545454
119,DS_19,DS_19_2_AC.pickle,28,5.8,5.0,3.5,5.0
120,DS_19,DS_19_2_AC.pickle,31,10.6,3.2142857142857144,16.4,3.2954545454545454
121,DS_19,DS_19_2_AC.pickle,32,3.5,10.446428571428571,5.3,8.522727272727273
122,DS_19,DS_19_2_AC.pickle,33,5.7,5.267857142857143,5.7,9.431818181818182
123,DS_19,DS_19_2_AC.pickle,36,2.6,3.482142857142857,5.3,8.295454545454545
124,DS_19,DS_19_2_AC.pickle,52,8.7,6.696428571428571,5.2,5.340909090909091
125,DS_19,DS_19_2_AC.pickle,60,25.9,15.535714285714286,26.9,14.659090909090908
126,DS_19,DS_19_2_AC.pickle,67,3.8,1.6071428571428572,4.6,2.159090909090909
127,DS_19,DS_19_2_AC.pickle,70,1.7,1.1538461538461537,1.2,1.1666666666666667
128,DS_19,DS_19_2_AC.pickle,79,2.9,1.25,3.7,3.409090909090909
129,DS_19,DS_19_2_AC.pickle,84,2.9,0.9821428571428571,1.9,0.9090909090909091
130,DS_19,DS_19_2_AC.pickle,86,0.7,0.44642857142857145,0.5,0.22727272727272727
131,DS_19,DS_19_2_AC.pickle,91,2.2,1.4285714285714286,3.4,1.25
132,DS_19,DS_19_2_AC.pickle,97,2.9,1.0714285714285714,2.9,2.3863636363636362
133,DS_19,DS_19_2_AC.pickle,102,14.6,12.410714285714286,48.7,28.068181818181817
