,animal,session relative to reversal,d'
80,BS_49,-3,0.28147674763965447
81,BS_49,-2,1.5188583959177937
82,BS_49,-1,2.03980725827362
83,BS_49,0,-1.4926752114527453
84,BS_49,1,-0.5104158331399509
85,BS_49,2,-0.06887862412592338
86,BS_49,3,0.7332006140757295
87,BS_49,4,1.5721088955828284
88,BS_50,-11,-0.07923551679668822
89,BS_50,-10,0.19363000335047684
90,BS_50,-9,0.10976742002885315
91,BS_50,-8,0.1261876825480146
92,BS_50,-7,0.5106634774556098
93,BS_50,-6,0.21341920795690444
94,BS_50,-5,0.5177257483769409
95,BS_50,-4,0.45916082610517983
96,BS_50,-3,0.3851433063895091
97,BS_50,-2,1.465690674531169
98,BS_50,-1,1.4647446343707897
99,BS_50,0,-0.5984267917632381
100,BS_51,-7,0.44108849258042876
101,BS_51,-6,-0.06961765835983402
102,BS_51,-5,0.2472043365228067
103,BS_51,-4,0.22381910953320583
104,BS_51,-3,0.2116256484487965
105,BS_51,-2,2.1389580325915873
106,BS_51,-1,1.6363412302364377
107,BS_51,0,-0.36346292475153164
108,BS_51,1,-0.30321284394476494
109,BS_51,2,-0.03215041388734363
110,BS_51,3,-0.053862806229514115
111,BS_51,4,-0.07833679646780128
112,BS_51,5,0.07821159807686551
113,BS_51,6,-0.21830622581291714
114,BS_51,7,0.10280486170908687
115,BS_51,8,0.39996163462939116
116,BS_51,9,0.4761606206594884
117,BS_51,10,2.1331431214346175
118,BS_51,11,1.7321992757232594
119,BS_51,12,1.3080859343749551
120,BS_51,13,1.8081935048078654
121,BS_56,-7,0.013072633913875642
122,BS_56,-6,-0.03547696013501074
123,BS_56,-5,0.12648658038644361
124,BS_56,-4,1.0361640860545795
125,BS_56,-3,1.3948340983315297
126,BS_56,-2,2.397784810134282
127,BS_56,-1,2.1232101827174468
128,BS_56,0,-0.4563163863175225
129,BS_56,1,-0.11041236100934565
130,BS_56,2,-0.19386323214267331
131,BS_56,3,-0.12960753775166212
132,BS_56,4,0.06764879098142385
133,BS_56,5,0.29338905966732653
134,BS_56,6,1.575104556644539
135,BS_56,7,1.2385778408136465
136,BS_56,8,1.524055187168912
137,BS_56,9,1.8768878840587229
138,BS_56,10,1.853308740524403
139,BS_56,11,1.7362715249249079
140,BS_56,12,1.6588609798575582
141,BS_56,13,2.0435735735496667
142,BS_59,-6,0.00829425059213118
143,BS_59,-5,0.28796781478175587
144,BS_59,-4,1.2933517760248756
145,BS_59,-3,1.7453422037178796
