,animal,session,cluster ID,phase,condition,FR modulation,Choice modulation
171,BS_40,BS_40_2_AC.pickle,225,pre late,behaving,28.21428571428572,13.83419689119171
172,BS_40,BS_40_2_AC.pickle,230,pre late,behaving,7.908163265306132,2.5388601036269436
173,BS_40,BS_40_2_AC.pickle,231,pre late,behaving,2.857142857142857,1.778929188255613
174,BS_40,BS_40_3_AC.pickle,0,pre late,behaving,7.245053272450523,9.329710144927537
175,BS_40,BS_40_3_AC.pickle,10,pre late,behaving,3.1354642313546384,1.7572463768115938
176,BS_40,BS_40_3_AC.pickle,14,pre late,behaving,11.430745814307462,7.1557971014492745
177,BS_40,BS_40_3_AC.pickle,15,pre late,behaving,14.961948249619475,1.1956521739130441
178,BS_40,BS_40_3_AC.pickle,23,pre late,behaving,18.396624472573816,1.517094017094017
179,BS_40,BS_40_3_AC.pickle,24,pre late,behaving,2.906574394463669,1.5909090909090908
180,BS_40,BS_40_3_AC.pickle,30,pre late,behaving,1.4548802946593007,0.845771144278607
181,BS_40,BS_40_3_AC.pickle,33,pre late,behaving,2.5665101721439747,1.764705882352941
182,BS_40,BS_40_3_AC.pickle,36,pre late,behaving,1.6151202749140892,3.8392857142857144
183,BS_40,BS_40_3_AC.pickle,37,pre late,behaving,1.2024353120243538,0.2717391304347824
184,BS_40,BS_40_3_AC.pickle,53,pre late,behaving,1.902587519025875,1.2137681159420293
185,BS_40,BS_40_3_AC.pickle,54,pre late,behaving,1.3231552162849871,0.505050505050505
186,BS_40,BS_40_3_AC.pickle,57,pre late,behaving,13.850837138508362,1.9384057971014494
187,BS_40,BS_40_3_AC.pickle,61,pre late,behaving,0.6666666666666667,2.7598566308243724
188,BS_40,BS_40_3_AC.pickle,71,pre late,behaving,2.009132420091325,1.721014492753623
189,BS_40,BS_40_3_AC.pickle,76,pre late,behaving,1.1886304909560725,0.30303030303030315
190,BS_40,BS_40_3_AC.pickle,81,pre late,behaving,3.8051750380517504,11.503623188405797
191,BS_40,BS_40_3_AC.pickle,84,pre late,behaving,1.4611872146118712,1.2500000000000002
192,BS_40,BS_40_3_AC.pickle,105,pre late,behaving,0.8903365906623235,1.1447811447811447
193,BS_40,BS_40_3_AC.pickle,108,pre late,behaving,1.0350076103500765,0.41666666666666663
194,BS_40,BS_40_3_AC.pickle,109,pre late,behaving,1.9354838709677418,4.476190476190476
195,BS_40,BS_40_3_AC.pickle,111,pre late,behaving,12.860360360360373,0.9420289855072468
196,BS_40,BS_40_3_AC.pickle,114,pre late,behaving,15.34936998854525,0.9629629629629634
197,BS_40,BS_40_3_AC.pickle,115,pre late,behaving,4.279835390946501,2.8817204301075265
198,BS_40,BS_40_3_AC.pickle,121,pre late,behaving,12.571428571428571,0.0
199,BS_40,BS_40_3_AC.pickle,140,pre late,behaving,0.18939393939393936,0.1020408163265306
200,BS_40,BS_40_3_AC.pickle,145,pre late,behaving,3.432835820895522,0.10101010101010102
201,BS_40,BS_40_3_AC.pickle,151,pre late,behaving,1.4840182648401823,3.4120734908136487
202,BS_40,BS_40_3_AC.pickle,155,pre late,behaving,16.910197869101975,6.775362318840579
203,BS_40,BS_40_4_AC.pickle,0,pre late,behaving,1.3733333333333333,3.21875
204,BS_40,BS_40_4_AC.pickle,1,pre late,behaving,1.12,3.1562499999999996
205,BS_40,BS_40_4_AC.pickle,7,pre late,behaving,1.5600000000000005,2.916666666666667
206,BS_40,BS_40_4_AC.pickle,9,pre late,behaving,0.5599999999999994,1.5
207,BS_40,BS_40_4_AC.pickle,10,pre late,behaving,0.3733333333333331,0.1770833333333337
