,animal,session,cluster ID,learning phase,FR modulation,control decoding performance
157,BS_40,BS_40_2_AC.pickle,184,pre late,0.7387387387387389,0.499182666
158,BS_40,BS_40_2_AC.pickle,188,pre late,2.0238095238095264,0.49846157
159,BS_40,BS_40_2_AC.pickle,189,pre late,9.727891156462585,0.496010832
160,BS_40,BS_40_2_AC.pickle,190,pre late,3.267605633802817,0.509944084
161,BS_40,BS_40_2_AC.pickle,194,pre late,11.326530612244886,0.499691046
162,BS_40,BS_40_2_AC.pickle,195,pre late,10.850340136054427,0.498003449
163,BS_40,BS_40_2_AC.pickle,201,pre late,3.0442176870748288,0.498887894
164,BS_40,BS_40_2_AC.pickle,204,pre late,2.568027210884353,0.502392903
165,BS_40,BS_40_2_AC.pickle,206,pre late,8.588435374149663,0.506043912
166,BS_40,BS_40_2_AC.pickle,210,pre late,12.862453531598513,0.504066714
167,BS_40,BS_40_2_AC.pickle,211,pre late,2.482566248256626,0.493690029
168,BS_40,BS_40_2_AC.pickle,212,pre late,8.418367346938783,0.501809877
169,BS_40,BS_40_2_AC.pickle,213,pre late,1.1224489795918366,0.505386059
170,BS_40,BS_40_2_AC.pickle,222,pre late,1.5257048092868986,0.498743447
171,BS_40,BS_40_2_AC.pickle,225,pre late,28.21428571428572,0.506058678
172,BS_40,BS_40_2_AC.pickle,230,pre late,7.908163265306132,0.49889963
173,BS_40,BS_40_2_AC.pickle,231,pre late,2.857142857142857,0.498271696
174,BS_40,BS_40_3_AC.pickle,0,pre late,7.245053272450523,0.496364815
175,BS_40,BS_40_3_AC.pickle,10,pre late,3.1354642313546384,0.501531092
176,BS_40,BS_40_3_AC.pickle,14,pre late,11.430745814307462,0.503152687
177,BS_40,BS_40_3_AC.pickle,15,pre late,14.961948249619475,0.494162113
178,BS_40,BS_40_3_AC.pickle,23,pre late,18.396624472573816,0.494017263
179,BS_40,BS_40_3_AC.pickle,24,pre late,2.906574394463669,0.491165018
180,BS_40,BS_40_3_AC.pickle,30,pre late,1.4548802946593007,0.498834611
181,BS_40,BS_40_3_AC.pickle,33,pre late,2.5665101721439747,0.499979387
182,BS_40,BS_40_3_AC.pickle,36,pre late,1.6151202749140892,0.494236488
183,BS_40,BS_40_3_AC.pickle,37,pre late,1.2024353120243538,0.497782079
184,BS_40,BS_40_3_AC.pickle,53,pre late,1.902587519025875,0.502050553
185,BS_40,BS_40_3_AC.pickle,54,pre late,1.3231552162849871,0.506130505
186,BS_40,BS_40_3_AC.pickle,57,pre late,13.850837138508362,0.495885568
187,BS_40,BS_40_3_AC.pickle,61,pre late,0.6666666666666667,0.497755751
