,animal,session,cluster ID,FR modulation,depth
273,BS_41,BS_41_4_AC.pickle,115,6.22137404580154,0.92
274,BS_41,BS_41_4_AC.pickle,117,9.707379134860044,0.77
275,BS_41,BS_41_4_AC.pickle,119,3.3842239185750564,0.57
276,BS_41,BS_41_5_AC.pickle,2,3.881188118811891,0.8745
277,BS_41,BS_41_5_AC.pickle,6,1.6986301369863024,0.887
278,BS_41,BS_41_5_AC.pickle,13,7.492354740061158,0.912
279,BS_41,BS_41_5_AC.pickle,15,2.587064676616916,0.837
280,BS_41,BS_41_5_AC.pickle,67,1.629629629629632,0.887
281,BS_41,BS_41_5_AC.pickle,68,2.9226361031518597,0.887
282,BS_41,BS_41_5_AC.pickle,73,7.102310231023097,0.837
283,BS_41,BS_41_5_AC.pickle,74,4.543524416135881,0.862
284,BS_41,BS_41_5_AC.pickle,85,1.6312056737588698,0.787
285,BS_41,BS_41_6_AC.pickle,1,3.7472035794183456,0.8885
286,BS_41,BS_41_6_AC.pickle,3,12.114093959731518,0.926
287,BS_41,BS_41_6_AC.pickle,6,0.5591397849462366,0.9385
288,BS_41,BS_41_6_AC.pickle,7,7.483221476510067,0.7635
289,BS_41,BS_41_6_AC.pickle,32,1.4100185528756946,0.9385
290,BS_41,BS_41_7_AC.pickle,0,2.011494252873561,1.1325
291,BS_41,BS_41_7_AC.pickle,24,5.755919854280489,0.445
292,BS_41,BS_41_7_AC.pickle,36,5.101906640368181,0.495
293,BS_41,BS_41_7_AC.pickle,39,1.0644257703081232,0.745
294,BS_41,BS_41_7_AC.pickle,50,1.3308913308913324,0.92
295,BS_41,BS_41_7_AC.pickle,54,3.1724137931034457,0.8075
296,BS_41,BS_41_7_AC.pickle,55,1.3218390804597726,0.745
297,BS_41,BS_41_7_AC.pickle,57,1.1839080459770113,0.7575
298,BS_41,BS_41_7_AC.pickle,59,10.240295748613654,0.4825
299,BS_41,BS_41_7_AC.pickle,62,3.238993710691824,0.5575
300,BS_41,BS_41_7_AC.pickle,63,1.6781609195402274,0.57
301,BS_41,BS_41_7_AC.pickle,64,3.9080459770115,0.5825
302,BS_41,BS_41_7_AC.pickle,73,0.6226271829916474,0.8825
303,BS_41,BS_41_7_AC.pickle,76,0.39447731755424054,0.8075
