,animal,session,cluster ID,learning phase,FR modulation,Choice modulation
142,BS_40,BS_40_2_AC.pickle,120,pre late,0.9369369369369368,1.1531531531531534
143,BS_40,BS_40_2_AC.pickle,122,pre late,2.857142857142857,4.071428571428571
144,BS_40,BS_40_2_AC.pickle,124,pre late,1.7176870748299315,2.7380952380952377
145,BS_40,BS_40_2_AC.pickle,133,pre late,2.9421768707482996,1.4710884353741498
146,BS_40,BS_40_2_AC.pickle,138,pre late,0.8516886930983848,0.8516886930983847
147,BS_40,BS_40_2_AC.pickle,142,pre late,1.7886178861788615,0.1277584204413474
148,BS_40,BS_40_2_AC.pickle,153,pre late,7.579365079365079,0.3174603174603174
149,BS_40,BS_40_2_AC.pickle,154,pre late,6.51360544217687,1.0034013605442176
150,BS_40,BS_40_2_AC.pickle,156,pre late,0.671462829736211,0.40767386091127106
151,BS_40,BS_40_2_AC.pickle,162,pre late,2.959183673469385,0.8928571428571431
152,BS_40,BS_40_2_AC.pickle,163,pre late,1.2074829931972804,1.2840136054421765
153,BS_40,BS_40_2_AC.pickle,164,pre late,4.221105527638188,1.6582914572864325
154,BS_40,BS_40_2_AC.pickle,165,pre late,1.9727891156462543,1.4625850340136055
155,BS_40,BS_40_2_AC.pickle,166,pre late,1.7176870748299329,2.4064625850340136
156,BS_40,BS_40_2_AC.pickle,178,pre late,0.9589041095890413,9.733462133700002e-17
157,BS_40,BS_40_2_AC.pickle,184,pre late,0.7387387387387389,0.4144144144144145
158,BS_40,BS_40_2_AC.pickle,188,pre late,2.0238095238095264,1.2074829931972788
159,BS_40,BS_40_2_AC.pickle,189,pre late,9.727891156462585,2.3299319727891152
160,BS_40,BS_40_2_AC.pickle,190,pre late,3.267605633802817,0.08450704225352125
161,BS_40,BS_40_2_AC.pickle,194,pre late,11.326530612244886,8.214285714285714
162,BS_40,BS_40_2_AC.pickle,195,pre late,10.850340136054427,1.0034013605442174
163,BS_40,BS_40_2_AC.pickle,201,pre late,3.0442176870748288,1.768707482993197
164,BS_40,BS_40_2_AC.pickle,204,pre late,2.568027210884353,0.6207482993197273
165,BS_40,BS_40_2_AC.pickle,206,pre late,8.588435374149663,4.787414965986394
166,BS_40,BS_40_2_AC.pickle,210,pre late,12.862453531598513,0.48327137546468435
167,BS_40,BS_40_2_AC.pickle,211,pre late,2.482566248256626,0.195258019525802
168,BS_40,BS_40_2_AC.pickle,212,pre late,8.418367346938783,0.4081632653061223
169,BS_40,BS_40_2_AC.pickle,213,pre late,1.1224489795918366,2.1683673469387754
170,BS_40,BS_40_2_AC.pickle,222,pre late,1.5257048092868986,0.36484245439469326
171,BS_40,BS_40_2_AC.pickle,225,pre late,28.21428571428572,5.331632653061225
172,BS_40,BS_40_2_AC.pickle,230,pre late,7.908163265306132,1.7857142857142863
173,BS_40,BS_40_2_AC.pickle,231,pre late,2.857142857142857,0.7908163265306121
174,BS_40,BS_40_3_AC.pickle,0,pre late,7.245053272450523,3.980213089802131
175,BS_40,BS_40_3_AC.pickle,10,pre late,3.1354642313546384,0.5327245053272449
176,BS_40,BS_40_3_AC.pickle,14,pre late,11.430745814307462,2.343987823439878
177,BS_40,BS_40_3_AC.pickle,15,pre late,14.961948249619475,1.1111111111111114
178,BS_40,BS_40_3_AC.pickle,23,pre late,18.396624472573816,0.6919831223628693
179,BS_40,BS_40_3_AC.pickle,24,pre late,2.906574394463669,0.5190311418685122
180,BS_40,BS_40_3_AC.pickle,30,pre late,1.4548802946593007,0.432780847145488
181,BS_40,BS_40_3_AC.pickle,33,pre late,2.5665101721439747,1.1111111111111112
182,BS_40,BS_40_3_AC.pickle,36,pre late,1.6151202749140892,2.1821305841924397
183,BS_40,BS_40_3_AC.pickle,37,pre late,1.2024353120243538,0.015220700152207101
184,BS_40,BS_40_3_AC.pickle,53,pre late,1.902587519025875,0.6240487062404872
185,BS_40,BS_40_3_AC.pickle,54,pre late,1.3231552162849871,0.17811704834605593
186,BS_40,BS_40_3_AC.pickle,57,pre late,13.850837138508362,0.8295281582952817
187,BS_40,BS_40_3_AC.pickle,61,pre late,0.6666666666666667,1.0144927536231882
188,BS_40,BS_40_3_AC.pickle,71,pre late,2.009132420091325,0.43378995433789946
189,BS_40,BS_40_3_AC.pickle,76,pre late,1.1886304909560725,0.5943152454780359
190,BS_40,BS_40_3_AC.pickle,81,pre late,3.8051750380517504,4.764079147640791
191,BS_40,BS_40_3_AC.pickle,84,pre late,1.4611872146118712,0.11415525114155275
192,BS_40,BS_40_3_AC.pickle,105,pre late,0.8903365906623235,0.6731813246471225
193,BS_40,BS_40_3_AC.pickle,108,pre late,1.0350076103500765,0.14459665144596656
194,BS_40,BS_40_3_AC.pickle,109,pre late,1.9354838709677418,1.6129032258064515
195,BS_40,BS_40_3_AC.pickle,111,pre late,12.860360360360373,1.3963963963963966
196,BS_40,BS_40_3_AC.pickle,114,pre late,15.34936998854525,0.5269186712485684
197,BS_40,BS_40_3_AC.pickle,115,pre late,4.279835390946501,1.3683127572016465
198,BS_40,BS_40_3_AC.pickle,121,pre late,12.571428571428571,8.458842092382146e-18
199,BS_40,BS_40_3_AC.pickle,140,pre late,0.18939393939393936,0.037878787878787866
200,BS_40,BS_40_3_AC.pickle,145,pre late,3.432835820895522,0.1492537313432836
201,BS_40,BS_40_3_AC.pickle,151,pre late,1.4840182648401823,1.3470319634703196
202,BS_40,BS_40_3_AC.pickle,155,pre late,16.910197869101975,3.302891933028919
203,BS_40,BS_40_4_AC.pickle,0,pre late,1.3733333333333333,1.9133333333333336
204,BS_40,BS_40_4_AC.pickle,1,pre late,1.12,1.9599999999999997
205,BS_40,BS_40_4_AC.pickle,7,pre late,1.5600000000000005,1.7200000000000004
206,BS_40,BS_40_4_AC.pickle,9,pre late,0.5599999999999994,0.8800000000000001
207,BS_40,BS_40_4_AC.pickle,10,pre late,0.3733333333333331,0.05333333333333326
208,BS_40,BS_40_4_AC.pickle,15,pre late,11.140939597315437,0.9395973154362414
209,BS_40,BS_40_4_AC.pickle,18,pre late,18.91472868217054,0.642303433001107
210,BS_40,BS_40_4_AC.pickle,29,pre late,7.160000000000004,1.399999999999999
211,BS_40,BS_40_5_AC.pickle,5,pre late,0.7142857142857155,0.8333333333333336
212,BS_40,BS_40_5_AC.pickle,21,pre late,0.3968253968253967,0.3968253968253968
213,BS_40,BS_40_5_AC.pickle,22,pre late,1.5418023887079275,0.23887079261672117
214,BS_40,BS_40_5_AC.pickle,27,pre late,15.003599712023021,0.8999280057595389
215,BS_40,BS_40_6_AC.pickle,4,pre late,0.8281573498964798,0.39337474120082805
216,BS_40,BS_40_6_AC.pickle,7,pre late,1.8697829716193657,1.769616026711185
217,BS_40,BS_40_6_AC.pickle,10,pre late,0.4563160823594876,0.9126321647189758
218,BS_40,BS_40_6_AC.pickle,11,pre late,2.370617696160264,1.7863105175292153
219,BS_40,BS_40_6_AC.pickle,15,pre late,15.859766277128557,1.485809682804674
220,BS_40,BS_40_6_AC.pickle,21,pre late,3.154362416107376,0.9899328859060401
221,BS_40,BS_40_6_AC.pickle,24,pre late,7.490261547022819,1.7473567056204784
222,BS_40,BS_40_6_AC.pickle,25,pre late,0.8242950108459874,0.2819956616052061
223,BS_40,BS_40_6_AC.pickle,26,pre late,2.1146355036171425,1.5915414579855314
224,BS_40,BS_40_6_AC.pickle,27,pre late,1.8809126321647172,1.6471897607122976
225,BS_40,BS_40_7_AC.pickle,23,pre late,3.988888888888883,1.9222222222222225
226,BS_40,BS_40_7_AC.pickle,33,pre late,7.566666666666662,0.6500000000000006
