,animal,session,d',learning phase
159,BS_67,1,0.22333219217632827,pre early
160,BS_67,2,0.1170719964133009,pre early
161,BS_67,3,0.5009665918390012,pre early
162,BS_67,4,2.0509075960345924,pre expert
163,BS_67,5,1.6588212271034135,pre expert
164,BS_67,6,1.617051296710085,pre expert
165,BS_67,7,-1.4796865159553874,switch
166,BS_67,8,-0.6722747587155751,post early
167,BS_67,9,-0.41145554175316457,post early
168,BS_67,10,0.055133625941947706,post late
169,BS_67,11,0.2700088196943302,post late
170,BS_67,12,0.4402332496251775,post late
171,BS_67,13,2.105463373066448,post expert
172,BS_67,14,1.7346922207139857,post expert
173,BS_70,1,-0.22602723763734822,pre early
174,BS_70,2,0.01606811079704462,pre early
175,BS_70,3,-0.20800804601429634,pre early
176,BS_70,4,0.49016044459348773,pre early
177,BS_70,5,1.286041054075907,pre late
178,BS_70,6,2.3268289119347836,pre expert
179,BS_70,7,2.449620986870663,pre expert
180,BS_70,8,-0.9839187899710123,switch
181,BS_70,9,-0.25886575245887,post early
182,BS_70,10,-0.18376030833861862,post early
183,BS_70,11,-0.10315011012440523,post late
184,BS_70,12,0.09575279982658585,post late
185,BS_70,13,0.28730822973746173,post late
186,BS_70,14,0.8014299799559688,post late
187,BS_70,15,0.2201988638559589,post late
188,BS_70,16,0.6127479300867666,post late
189,BS_70,17,0.737118559641412,post late
190,BS_70,18,1.9457918755241324,post expert
191,BS_72,1,-0.024339982848792352,pre early
192,BS_72,2,0.29368628205223546,pre early
193,BS_72,3,1.7410361356743862,pre expert
194,BS_72,4,2.1374262882264707,pre expert
195,BS_72,5,2.9404735847839643,pre expert
196,BS_72,6,-1.3013431376608926,switch
197,BS_72,7,-0.21241968256205068,post early
198,BS_72,8,0.07382095131912592,post late
199,BS_72,9,0.42205212173061946,post late
200,BS_72,10,0.26361124105019274,post late
201,BS_72,11,0.2693777626341738,post late
202,BS_72,12,0.45895195522268917,post late
203,BS_72,13,0.6937489069064202,post late
204,BS_72,14,0.5461864385491482,post late
205,BS_72,15,0.5680108990342239,post late
206,BS_72,16,0.16376590719221185,post late
207,BS_72,17,0.3170188153250669,post late
208,BS_72,18,0.3260707355517728,post late
209,BS_72,19,1.5237170453601,post expert
210,BS_72,20,2.6373063302622146,post expert
211,BS_87,1,0.06326054917403019,pre early
212,BS_87,2,0.664788259869667,pre late
213,BS_87,3,0.7232491452796587,pre late
214,BS_87,4,1.7420602740742228,pre expert
215,BS_87,5,1.8554465409035565,pre expert
216,BS_87,6,-0.587304014002989,switch
217,BS_87,7,-0.2688785389488046,post early
218,BS_87,8,-0.23360434858779888,post early
219,BS_87,9,-0.1359846707931241,post early
220,BS_87,10,0.030329879323179876,post early
221,BS_87,11,0.5812483535028989,post late
222,BS_87,12,0.5281164855098135,post late
223,BS_87,13,2.371705981878082,post expert
224,BS_87,14,1.328952480899487,post expert
225,BS_108,1,0.10547308215092022,pre early
226,BS_108,2,0.01063494689106037,pre early
227,BS_108,3,0.42674175836952055,pre early
228,BS_108,4,1.181953692631149,pre late
229,BS_108,5,2.038787934535881,pre expert
230,BS_108,6,2.3021224582507482,pre expert
231,BS_108,7,-1.0224656121109117,switch
232,BS_108,8,-0.5908489320558843,post early
233,BS_108,9,-0.08570874186579064,post early
234,BS_108,10,-0.22906478311918455,post early
235,BS_108,11,0.259121000413015,post late
236,BS_108,12,0.5144199671422629,post late
237,BS_108,13,0.19019088158129294,post late
238,BS_108,14,0.4451895207845096,post late
239,BS_108,15,0.8541608996556471,post late
240,BS_108,16,1.6278511220764345,post expert
241,BS_108,17,2.6614628334995087,post expert
242,DS_15,1,0.08613846028136231,pre early
243,DS_15,2,-0.0020303447725471546,pre early
244,DS_15,3,0.10257312214791975,pre early
245,DS_15,4,0.01244587775733963,pre early
246,DS_15,5,0.16617683199513594,pre early
247,DS_15,6,0.28065596287853234,pre early
248,DS_15,7,0.6777939264458546,pre late
249,DS_15,8,1.1182332650681044,pre late
250,DS_15,9,0.8910589144638188,pre late
251,DS_15,10,1.648949049855882,pre expert
252,DS_15,11,1.4369018399571327,pre expert
253,DS_15,12,-0.15986387911078048,switch
254,DS_15,13,-0.04390183169236095,post early
255,DS_15,14,-0.09667806877961382,post early
256,DS_15,15,-0.21439900398890355,post early
257,DS_15,16,-0.026200747719400397,post early
258,DS_15,17,-0.11334568825770186,post early
259,DS_15,18,0.025749204217913046,post early
260,DS_15,19,0.09800044198451319,post early
261,DS_15,20,0.20693789115012773,post early
262,DS_15,21,0.5965985345614991,post late
263,DS_15,22,1.6321144772022207,post expert
264,DS_15,23,1.3823105528059252,post expert
265,DS_15,24,1.6488827582975412,post expert
266,DS_15,25,1.4262253182534554,post expert
267,DS_15,26,1.8042555537776792,post expert
268,DS_15,27,2.0975436330726165,post expert
269,DS_15,29,2.271822462753918,post expert
270,DS_19,1,-0.16578111886071578,pre early
271,DS_19,2,0.1517062911163669,pre early
272,DS_19,3,0.5291550021740763,pre late
273,DS_19,4,1.9485536397289938,pre expert
274,DS_19,5,1.6992393827088499,pre expert
275,DS_19,6,1.4045273307543857,pre expert
276,DS_19,7,2.1350472199712858,pre expert
277,DS_19,8,1.6685394103360185,pre expert
278,DS_19,9,1.2124743534898434,pre expert
279,DS_19,10,1.4131837295626521,pre expert
280,DS_19,11,1.151204213958647,pre expert
281,DS_19,12,-0.6835115026818707,switch
282,DS_19,13,-0.1832368270650454,post early
283,DS_19,14,-0.12367373690698336,post early
284,DS_19,15,-0.08483056825371127,post early
285,DS_19,16,0.01520004393092994,post early
286,DS_19,17,-0.06826717368974339,post early
287,DS_19,18,0.05689731577531486,post early
288,DS_19,19,0.24704235516008047,post early
289,DS_19,20,0.26028946825628135,post early
290,DS_19,21,0.26275998151439584,post early
291,DS_19,22,0.6392306268247556,post late
292,DS_19,23,1.699550417074182,post expert
293,DS_19,24,1.7057195801198954,post expert
294,DS_19,25,2.3011932259254215,post expert
295,DS_19,26,2.471584185968011,post expert
296,DS_19,27,2.393608961625269,post expert
297,DS_19,28,2.9033035788647017,post expert
298,DS_19,29,2.4261257216669847,post expert
299,DS_19,30,2.535662396959543,post expert
