,animal,session,cluster ID,FR modulation,category
140,BS_40,BS_40_2_AC.pickle,103,18.82653061224488,CR (enhanced)
141,BS_40,BS_40_2_AC.pickle,115,10.26365348399247,CR (enhanced)
142,BS_40,BS_40_2_AC.pickle,120,0.9369369369369368,Inconclusive
143,BS_40,BS_40_2_AC.pickle,122,2.857142857142857,Inconclusive
144,BS_40,BS_40_2_AC.pickle,124,1.7176870748299315,NCR
145,BS_40,BS_40_2_AC.pickle,133,2.9421768707482996,Inconclusive
146,BS_40,BS_40_2_AC.pickle,138,0.8516886930983848,NCR
147,BS_40,BS_40_2_AC.pickle,142,1.7886178861788615,Inconclusive
148,BS_40,BS_40_2_AC.pickle,153,7.579365079365079,CR (enhanced)
149,BS_40,BS_40_2_AC.pickle,154,6.51360544217687,CR (enhanced)
150,BS_40,BS_40_2_AC.pickle,156,0.671462829736211,NCR
151,BS_40,BS_40_2_AC.pickle,162,2.959183673469385,Inconclusive
152,BS_40,BS_40_2_AC.pickle,163,1.2074829931972804,NCR
153,BS_40,BS_40_2_AC.pickle,164,4.221105527638188,Inconclusive
154,BS_40,BS_40_2_AC.pickle,165,1.9727891156462543,Inconclusive
155,BS_40,BS_40_2_AC.pickle,166,1.7176870748299329,Inconclusive
156,BS_40,BS_40_2_AC.pickle,178,0.9589041095890413,NCR
157,BS_40,BS_40_2_AC.pickle,184,0.7387387387387389,NCR
158,BS_40,BS_40_2_AC.pickle,188,2.0238095238095264,Inconclusive
159,BS_40,BS_40_2_AC.pickle,189,9.727891156462585,CR (enhanced)
160,BS_40,BS_40_2_AC.pickle,190,3.267605633802817,CR (enhanced)
161,BS_40,BS_40_2_AC.pickle,194,11.326530612244886,CR (enhanced)
162,BS_40,BS_40_2_AC.pickle,195,10.850340136054427,CR (enhanced)
163,BS_40,BS_40_2_AC.pickle,201,3.0442176870748288,Inconclusive
164,BS_40,BS_40_2_AC.pickle,204,2.568027210884353,Inconclusive
165,BS_40,BS_40_2_AC.pickle,206,8.588435374149663,CR (enhanced)
166,BS_40,BS_40_2_AC.pickle,210,12.862453531598513,CR (enhanced)
167,BS_40,BS_40_2_AC.pickle,211,2.482566248256626,NCR
168,BS_40,BS_40_2_AC.pickle,212,8.418367346938783,CR (enhanced)
169,BS_40,BS_40_2_AC.pickle,213,1.1224489795918366,NCR
170,BS_40,BS_40_2_AC.pickle,222,1.5257048092868986,Inconclusive
171,BS_40,BS_40_2_AC.pickle,225,28.21428571428572,CR (enhanced)
172,BS_40,BS_40_2_AC.pickle,230,7.908163265306132,CR (suppressed)
173,BS_40,BS_40_2_AC.pickle,231,2.857142857142857,Inconclusive
174,BS_40,BS_40_3_AC.pickle,0,7.245053272450523,CR (suppressed)
175,BS_40,BS_40_3_AC.pickle,10,3.1354642313546384,Inconclusive
176,BS_40,BS_40_3_AC.pickle,14,11.430745814307462,CR (enhanced)
177,BS_40,BS_40_3_AC.pickle,15,14.961948249619475,CR (enhanced)
178,BS_40,BS_40_3_AC.pickle,23,18.396624472573816,CR (enhanced)
179,BS_40,BS_40_3_AC.pickle,24,2.906574394463669,Inconclusive
180,BS_40,BS_40_3_AC.pickle,30,1.4548802946593007,Inconclusive
181,BS_40,BS_40_3_AC.pickle,33,2.5665101721439747,Inconclusive
182,BS_40,BS_40_3_AC.pickle,36,1.6151202749140892,Inconclusive
183,BS_40,BS_40_3_AC.pickle,37,1.2024353120243538,NCR
184,BS_40,BS_40_3_AC.pickle,53,1.902587519025875,NCR
185,BS_40,BS_40_3_AC.pickle,54,1.3231552162849871,NCR
186,BS_40,BS_40_3_AC.pickle,57,13.850837138508362,CR (enhanced)
187,BS_40,BS_40_3_AC.pickle,61,0.6666666666666667,NCR
188,BS_40,BS_40_3_AC.pickle,71,2.009132420091325,Inconclusive
189,BS_40,BS_40_3_AC.pickle,76,1.1886304909560725,Inconclusive
190,BS_40,BS_40_3_AC.pickle,81,3.8051750380517504,CR (enhanced)
