,animal,session,cluster ID,category,depth
152,BS_40,BS_40_2_AC.pickle,163,NCR,195.0
153,BS_40,BS_40_2_AC.pickle,164,CR,382.5
154,BS_40,BS_40_2_AC.pickle,165,NCR,395.0
155,BS_40,BS_40_2_AC.pickle,166,NCR,395.0
156,BS_40,BS_40_2_AC.pickle,178,NCR,195.0
157,BS_40,BS_40_2_AC.pickle,184,NCR,295.0
158,BS_40,BS_40_2_AC.pickle,188,NCR,207.5
159,BS_40,BS_40_2_AC.pickle,189,CR,270.0
160,BS_40,BS_40_2_AC.pickle,190,NCR,295.0
161,BS_40,BS_40_2_AC.pickle,194,CR,345.0
162,BS_40,BS_40_2_AC.pickle,195,CR,420.0
163,BS_40,BS_40_2_AC.pickle,201,NCR,345.0
164,BS_40,BS_40_2_AC.pickle,204,NCR,195.0
165,BS_40,BS_40_2_AC.pickle,206,CR,445.0
166,BS_40,BS_40_2_AC.pickle,210,CR,595.0
167,BS_40,BS_40_2_AC.pickle,211,NCR,657.5
168,BS_40,BS_40_2_AC.pickle,212,CR,720.0
169,BS_40,BS_40_2_AC.pickle,213,NCR,132.5
170,BS_40,BS_40_2_AC.pickle,222,NCR,170.0
171,BS_40,BS_40_2_AC.pickle,225,CR,545.0
172,BS_40,BS_40_2_AC.pickle,230,CR,207.5
173,BS_40,BS_40_2_AC.pickle,231,NCR,545.0
174,BS_40,BS_40_3_AC.pickle,0,CR,706.5
175,BS_40,BS_40_3_AC.pickle,10,NCR,619.0
176,BS_40,BS_40_3_AC.pickle,14,CR,656.5
177,BS_40,BS_40_3_AC.pickle,15,CR,631.5
178,BS_40,BS_40_3_AC.pickle,23,CR,794.0
179,BS_40,BS_40_3_AC.pickle,24,NCR,794.0
180,BS_40,BS_40_3_AC.pickle,30,NCR,706.5
181,BS_40,BS_40_3_AC.pickle,33,NCR,694.0
182,BS_40,BS_40_3_AC.pickle,36,NCR,731.5
183,BS_40,BS_40_3_AC.pickle,37,NCR,731.5
184,BS_40,BS_40_3_AC.pickle,53,NCR,319.0
185,BS_40,BS_40_3_AC.pickle,54,NCR,319.0
186,BS_40,BS_40_3_AC.pickle,57,CR,319.0
187,BS_40,BS_40_3_AC.pickle,61,NCR,219.0
188,BS_40,BS_40_3_AC.pickle,71,NCR,494.0
189,BS_40,BS_40_3_AC.pickle,76,NCR,531.5
190,BS_40,BS_40_3_AC.pickle,81,CR,519.0
191,BS_40,BS_40_3_AC.pickle,84,NCR,556.5
192,BS_40,BS_40_3_AC.pickle,105,NCR,281.5
193,BS_40,BS_40_3_AC.pickle,108,NCR,256.5
194,BS_40,BS_40_3_AC.pickle,109,NCR,256.5
195,BS_40,BS_40_3_AC.pickle,111,CR,81.5
196,BS_40,BS_40_3_AC.pickle,114,CR,231.5
197,BS_40,BS_40_3_AC.pickle,115,CR,231.5
198,BS_40,BS_40_3_AC.pickle,121,CR,156.5
199,BS_40,BS_40_3_AC.pickle,140,NCR,256.5
200,BS_40,BS_40_3_AC.pickle,145,NCR,156.5
201,BS_40,BS_40_3_AC.pickle,151,NCR,106.5
202,BS_40,BS_40_3_AC.pickle,155,CR,356.5
203,BS_40,BS_40_4_AC.pickle,0,NCR,1155.5
204,BS_40,BS_40_4_AC.pickle,1,NCR,1168.0
205,BS_40,BS_40_4_AC.pickle,7,NCR,1193.0
206,BS_40,BS_40_4_AC.pickle,9,NCR,1118.0
207,BS_40,BS_40_4_AC.pickle,10,NCR,1130.5
208,BS_40,BS_40_4_AC.pickle,15,CR,568.0
209,BS_40,BS_40_4_AC.pickle,18,CR,468.0
210,BS_40,BS_40_4_AC.pickle,29,CR,405.5
