,animal,session,cluster ID,learning phase,category
181,BS_49,BS_49_4_AC.pickle,53,pre early,CR (enhanced)
182,BS_49,BS_49_4_AC.pickle,55,pre early,NCR
183,BS_49,BS_49_4_AC.pickle,56,pre early,CR (enhanced)
184,BS_49,BS_49_4_AC.pickle,68,pre early,CR (enhanced)
185,BS_49,BS_49_4_AC.pickle,71,pre early,NCR
186,BS_49,BS_49_4_AC.pickle,73,pre early,CR (enhanced)
187,BS_49,BS_49_7_AC.pickle,2,pre late,CR (suppressed)
188,BS_49,BS_49_9_AC.pickle,18,pre late,CR (enhanced)
189,BS_50,BS_50_2_AC.pickle,2,pre early,CR (enhanced)
190,BS_50,BS_50_2_AC.pickle,14,pre early,CR (enhanced)
191,BS_50,BS_50_2_AC.pickle,23,pre early,CR (enhanced)
192,BS_50,BS_50_2_AC.pickle,35,pre early,CR (enhanced)
193,BS_50,BS_50_2_AC.pickle,79,pre early,NCR
194,BS_50,BS_50_2_AC.pickle,83,pre early,NCR
195,BS_50,BS_50_2_AC.pickle,88,pre early,NCR
196,BS_50,BS_50_3_AC.pickle,0,pre early,CR (enhanced)
197,BS_50,BS_50_3_AC.pickle,3,pre early,CR (enhanced)
198,BS_50,BS_50_3_AC.pickle,11,pre early,CR (suppressed)
199,BS_50,BS_50_3_AC.pickle,16,pre early,CR (enhanced)
200,BS_50,BS_50_3_AC.pickle,21,pre early,CR (enhanced)
201,BS_50,BS_50_3_AC.pickle,34,pre early,CR (enhanced)
202,BS_50,BS_50_3_AC.pickle,41,pre early,CR (enhanced)
203,BS_50,BS_50_3_AC.pickle,45,pre early,CR (enhanced)
204,BS_56,BS_56_1_AC.pickle,3,post expert,CR (enhanced)
205,BS_56,BS_56_1_AC.pickle,14,post expert,NCR
206,BS_56,BS_56_2_AC.pickle,9,post expert,CR (enhanced)
207,BS_56,BS_56_3_AC.pickle,7,post expert,NCR
208,BS_56,BS_56_3_AC.pickle,10,post expert,NCR
209,BS_56,BS_56_3_AC.pickle,13,post expert,NCR
210,BS_56,BS_56_3_AC.pickle,20,post expert,NCR
211,BS_56,BS_56_3_AC.pickle,35,post expert,CR (suppressed)
212,BS_67,BS_67_1_AC.pickle,10,post late,NCR
213,BS_67,BS_67_1_AC.pickle,16,post late,CR (enhanced)
214,BS_67,BS_67_1_AC.pickle,19,post late,CR (enhanced)
215,BS_67,BS_67_1_AC.pickle,55,post late,CR (enhanced)
216,BS_67,BS_67_1_AC.pickle,59,post late,CR (enhanced)
217,BS_67,BS_67_2_AC.pickle,1,post expert,NCR
218,BS_70,BS_70_11_AC.pickle,14,post late,NCR
219,BS_70,BS_70_11_AC.pickle,18,post late,NCR
220,BS_70,BS_70_11_AC.pickle,24,post late,NCR
221,BS_70,BS_70_11_AC.pickle,32,post late,CR (enhanced)
222,BS_70,BS_70_12_AC.pickle,5,post late,NCR
223,BS_70,BS_70_12_AC.pickle,6,post late,NCR
224,BS_70,BS_70_12_AC.pickle,19,post late,NCR
225,BS_70,BS_70_12_AC.pickle,20,post late,NCR
226,BS_70,BS_70_13_AC.pickle,18,post expert,CR (suppressed)
227,BS_70,BS_70_1_AC.pickle,1,pre late,CR (suppressed)
228,BS_70,BS_70_1_AC.pickle,2,pre late,NCR
229,BS_70,BS_70_1_AC.pickle,13,pre late,CR (enhanced)
230,BS_70,BS_70_1_AC.pickle,37,pre late,CR (suppressed)
231,BS_70,BS_70_1_AC.pickle,66,pre late,NCR
232,BS_70,BS_70_1_AC.pickle,69,pre late,CR (enhanced)
233,BS_70,BS_70_1_AC.pickle,73,pre late,NCR
234,BS_70,BS_70_1_AC.pickle,74,pre late,NCR
235,BS_70,BS_70_1_AC.pickle,77,pre late,NCR
236,BS_70,BS_70_1_AC.pickle,80,pre late,NCR
237,BS_70,BS_70_1_AC.pickle,88,pre late,NCR
238,BS_70,BS_70_1_AC.pickle,91,pre late,NCR
239,BS_70,BS_70_1_AC.pickle,127,pre late,CR (suppressed)
240,BS_70,BS_70_1_AC.pickle,141,pre late,NCR
241,BS_70,BS_70_5_AC.pickle,0,post early,CR (suppressed)
242,BS_70,BS_70_5_AC.pickle,10,post early,CR (enhanced)
243,BS_70,BS_70_6_AC.pickle,37,post early,NCR
244,BS_70,BS_70_6_AC.pickle,51,post early,NCR
245,BS_70,BS_70_6_AC.pickle,68,post early,NCR
246,BS_70,BS_70_7_AC.pickle,22,post late,CR (enhanced)
247,BS_70,BS_70_7_AC.pickle,45,post late,CR (enhanced)
248,BS_70,BS_70_8_AC.pickle,1,post late,NCR
249,BS_70,BS_70_8_AC.pickle,18,post late,NCR
250,BS_70,BS_70_8_AC.pickle,20,post late,CR (enhanced)
251,BS_70,BS_70_8_AC.pickle,21,post late,CR (enhanced)
252,BS_70,BS_70_8_AC.pickle,28,post late,NCR
253,BS_70,BS_70_8_AC.pickle,36,post late,NCR
254,BS_70,BS_70_8_AC.pickle,42,post late,NCR
255,BS_70,BS_70_8_AC.pickle,48,post late,CR (enhanced)
256,BS_70,BS_70_8_AC.pickle,52,post late,NCR
257,BS_70,BS_70_9_AC.pickle,9,post late,NCR
258,BS_70,BS_70_9_AC.pickle,41,post late,NCR
259,BS_70,BS_70_9_AC.pickle,48,post late,CR (enhanced)
260,BS_70,BS_70_9_AC.pickle,56,post late,CR (enhanced)
261,BS_72,BS_72_10_AC.pickle,18,post late,CR (enhanced)
262,BS_72,BS_72_13_AC.pickle,0,post late,NCR
263,BS_72,BS_72_13_AC.pickle,6,post late,CR (suppressed)
264,BS_72,BS_72_13_AC.pickle,10,post late,CR (suppressed)
265,BS_72,BS_72_1_AC.pickle,0,pre expert,CR (enhanced)
266,BS_72,BS_72_1_AC.pickle,5,pre expert,NCR
267,BS_72,BS_72_1_AC.pickle,24,pre expert,NCR
268,BS_72,BS_72_1_AC.pickle,30,pre expert,CR (enhanced)
269,BS_72,BS_72_1_AC.pickle,38,pre expert,CR (suppressed)
270,BS_72,BS_72_2_AC.pickle,1,pre expert,NCR
271,BS_72,BS_72_2_AC.pickle,3,pre expert,CR (enhanced)
272,BS_72,BS_72_2_AC.pickle,7,pre expert,CR (suppressed)
273,BS_72,BS_72_2_AC.pickle,8,pre expert,NCR
274,BS_72,BS_72_2_AC.pickle,17,pre expert,CR (suppressed)
275,BS_72,BS_72_2_AC.pickle,19,pre expert,CR (enhanced)
276,BS_72,BS_72_2_AC.pickle,26,pre expert,NCR
277,BS_72,BS_72_2_AC.pickle,52,pre expert,CR (enhanced)
278,BS_72,BS_72_4_AC.pickle,7,post early,NCR
279,BS_72,BS_72_4_AC.pickle,12,post early,NCR
280,BS_72,BS_72_4_AC.pickle,44,post early,CR (enhanced)
281,BS_72,BS_72_4_AC.pickle,46,post early,CR (enhanced)
282,BS_72,BS_72_4_AC.pickle,54,post early,CR (enhanced)
283,BS_72,BS_72_4_AC.pickle,55,post early,CR (enhanced)
284,BS_72,BS_72_4_AC.pickle,70,post early,CR (enhanced)
285,BS_72,BS_72_4_AC.pickle,115,post early,CR (enhanced)
286,BS_72,BS_72_5_AC.pickle,0,post late,NCR
287,BS_72,BS_72_5_AC.pickle,10,post late,CR (enhanced)
288,BS_72,BS_72_5_AC.pickle,36,post late,CR (enhanced)
289,BS_72,BS_72_5_AC.pickle,42,post late,CR (enhanced)
290,BS_72,BS_72_5_AC.pickle,54,post late,NCR
291,BS_72,BS_72_6_AC.pickle,12,post late,NCR
292,BS_72,BS_72_6_AC.pickle,13,post late,NCR
293,BS_72,BS_72_6_AC.pickle,14,post late,CR (enhanced)
294,BS_72,BS_72_6_AC.pickle,23,post late,CR (enhanced)
295,BS_72,BS_72_6_AC.pickle,26,post late,CR (enhanced)
296,BS_72,BS_72_6_AC.pickle,27,post late,CR (enhanced)
297,BS_72,BS_72_6_AC.pickle,28,post late,NCR
298,BS_72,BS_72_6_AC.pickle,31,post late,CR (enhanced)
299,BS_72,BS_72_6_AC.pickle,32,post late,NCR
300,BS_72,BS_72_6_AC.pickle,40,post late,CR (enhanced)
301,BS_72,BS_72_6_AC.pickle,41,post late,CR (enhanced)
302,BS_72,BS_72_6_AC.pickle,57,post late,CR (suppressed)
303,BS_72,BS_72_6_AC.pickle,61,post late,CR (enhanced)
304,BS_72,BS_72_6_AC.pickle,65,post late,NCR
305,BS_72,BS_72_7_AC.pickle,12,post late,NCR
306,BS_72,BS_72_7_AC.pickle,14,post late,CR (enhanced)
307,BS_72,BS_72_7_AC.pickle,15,post late,CR (enhanced)
308,BS_72,BS_72_7_AC.pickle,16,post late,CR (enhanced)
309,BS_72,BS_72_7_AC.pickle,33,post late,CR (enhanced)
310,BS_72,BS_72_8_AC.pickle,5,post late,CR (enhanced)
311,BS_72,BS_72_8_AC.pickle,10,post late,CR (enhanced)
312,BS_72,BS_72_8_AC.pickle,23,post late,CR (suppressed)
313,BS_72,BS_72_9_AC.pickle,8,post late,CR (enhanced)
314,BS_72,BS_72_9_AC.pickle,11,post late,CR (enhanced)
315,BS_87,BS_87_10_AC.pickle,4,post expert,CR (enhanced)
316,BS_87,BS_87_11_AC.pickle,1,post expert,NCR
317,BS_87,BS_87_11_AC.pickle,4,post expert,CR (enhanced)
318,BS_87,BS_87_1_AC.pickle,7,pre expert,NCR
319,BS_87,BS_87_1_AC.pickle,12,pre expert,CR (enhanced)
320,BS_87,BS_87_1_AC.pickle,30,pre expert,NCR
321,BS_87,BS_87_1_AC.pickle,39,pre expert,CR (enhanced)
322,BS_87,BS_87_2_AC.pickle,25,pre expert,CR (enhanced)
323,BS_87,BS_87_4_AC.pickle,3,post early,CR (enhanced)
324,BS_87,BS_87_4_AC.pickle,15,post early,CR (enhanced)
325,BS_87,BS_87_4_AC.pickle,18,post early,CR (enhanced)
326,BS_87,BS_87_4_AC.pickle,19,post early,NCR
327,BS_87,BS_87_4_AC.pickle,26,post early,CR (enhanced)
328,BS_87,BS_87_4_AC.pickle,27,post early,CR (enhanced)
329,BS_87,BS_87_4_AC.pickle,33,post early,NCR
330,BS_87,BS_87_4_AC.pickle,34,post early,CR (enhanced)
331,BS_87,BS_87_4_AC.pickle,38,post early,CR (enhanced)
332,BS_87,BS_87_4_AC.pickle,44,post early,CR (enhanced)
333,BS_87,BS_87_4_AC.pickle,45,post early,CR (enhanced)
334,BS_87,BS_87_4_AC.pickle,57,post early,CR (enhanced)
335,BS_87,BS_87_4_AC.pickle,73,post early,CR (enhanced)
336,BS_87,BS_87_4_AC.pickle,74,post early,CR (enhanced)
337,BS_87,BS_87_4_AC.pickle,80,post early,CR (enhanced)
338,BS_87,BS_87_4_AC.pickle,82,post early,CR (enhanced)
339,BS_87,BS_87_4_AC.pickle,115,post early,CR (enhanced)
340,BS_87,BS_87_4_AC.pickle,124,post early,NCR
341,BS_87,BS_87_4_AC.pickle,141,post early,CR (enhanced)
342,BS_87,BS_87_4_AC.pickle,162,post early,CR (enhanced)
343,BS_87,BS_87_4_AC.pickle,172,post early,CR (enhanced)
