,animal,session,cluster ID,learning phase,Stimulus decoding,Choice decoding
158,BS_40,BS_40_2_AC.pickle,188,pre late,0.511500746,0.5033208601797349
159,BS_40,BS_40_2_AC.pickle,189,pre late,0.539868979,0.5336161575781125
160,BS_40,BS_40_2_AC.pickle,190,pre late,0.558548718,0.6131133815900098
161,BS_40,BS_40_2_AC.pickle,194,pre late,0.567547071,0.620127424688208
162,BS_40,BS_40_2_AC.pickle,195,pre late,0.634323742,0.6398853371413998
163,BS_40,BS_40_2_AC.pickle,201,pre late,0.589382113,0.5732295393534698
164,BS_40,BS_40_2_AC.pickle,204,pre late,0.521037539,0.5815899752515735
165,BS_40,BS_40_2_AC.pickle,206,pre late,0.59174157,0.5515343598556086
166,BS_40,BS_40_2_AC.pickle,210,pre late,0.499382521,0.5432811348560055
167,BS_40,BS_40_2_AC.pickle,211,pre late,0.501787145,
168,BS_40,BS_40_2_AC.pickle,212,pre late,0.547222593,0.5787806501619298
169,BS_40,BS_40_2_AC.pickle,213,pre late,0.514992808,
170,BS_40,BS_40_2_AC.pickle,222,pre late,0.560341999,
171,BS_40,BS_40_2_AC.pickle,225,pre late,0.613438677,0.5857333386742403
172,BS_40,BS_40_2_AC.pickle,230,pre late,0.559113632,0.5768720855506442
173,BS_40,BS_40_2_AC.pickle,231,pre late,0.57895094,
174,BS_40,BS_40_3_AC.pickle,0,pre late,0.53134866,0.487405622549548
175,BS_40,BS_40_3_AC.pickle,10,pre late,0.514142284,0.5297503538837737
176,BS_40,BS_40_3_AC.pickle,14,pre late,0.573011663,0.6360877015187822
177,BS_40,BS_40_3_AC.pickle,15,pre late,0.583933702,0.5459498999101062
178,BS_40,BS_40_3_AC.pickle,23,pre late,0.552760483,0.5213039594388464
179,BS_40,BS_40_3_AC.pickle,24,pre late,0.515463034,0.5078965952397664
180,BS_40,BS_40_3_AC.pickle,30,pre late,0.496328879,0.4723057503693795
181,BS_40,BS_40_3_AC.pickle,33,pre late,0.582904744,
182,BS_40,BS_40_3_AC.pickle,36,pre late,0.623670046,
183,BS_40,BS_40_3_AC.pickle,37,pre late,0.552430661,
184,BS_40,BS_40_3_AC.pickle,53,pre late,0.528685956,0.6119678136306818
185,BS_40,BS_40_3_AC.pickle,54,pre late,0.435623507,
186,BS_40,BS_40_3_AC.pickle,57,pre late,0.578420223,0.5984471433893804
187,BS_40,BS_40_3_AC.pickle,61,pre late,0.542407688,
188,BS_40,BS_40_3_AC.pickle,71,pre late,,0.5417372999016379
189,BS_40,BS_40_3_AC.pickle,76,pre late,0.56857919,
190,BS_40,BS_40_3_AC.pickle,81,pre late,0.562935954,0.5947711625934671
191,BS_40,BS_40_3_AC.pickle,84,pre late,0.551450966,0.5183778149208217
192,BS_40,BS_40_3_AC.pickle,105,pre late,0.460544155,
193,BS_40,BS_40_3_AC.pickle,108,pre late,0.489267318,0.5063727989813501
194,BS_40,BS_40_3_AC.pickle,109,pre late,0.517917426,
195,BS_40,BS_40_3_AC.pickle,111,pre late,0.557005566,0.5710916698513493
196,BS_40,BS_40_3_AC.pickle,114,pre late,0.564350076,0.5585642408646425
197,BS_40,BS_40_3_AC.pickle,115,pre late,0.554080903,0.5868769807735688
198,BS_40,BS_40_3_AC.pickle,121,pre late,,
199,BS_40,BS_40_3_AC.pickle,140,pre late,0.539173531,
200,BS_40,BS_40_3_AC.pickle,145,pre late,0.4755396,
201,BS_40,BS_40_3_AC.pickle,151,pre late,0.601634737,
202,BS_40,BS_40_3_AC.pickle,155,pre late,0.580236452,0.5948624632500091
203,BS_40,BS_40_4_AC.pickle,0,pre late,0.53127571,0.5592048611111111
204,BS_40,BS_40_4_AC.pickle,1,pre late,0.548969188,0.4892395833333333
205,BS_40,BS_40_4_AC.pickle,7,pre late,0.531365346,0.6387013888888889
206,BS_40,BS_40_4_AC.pickle,9,pre late,0.493567827,0.5549618055555556
207,BS_40,BS_40_4_AC.pickle,10,pre late,0.518538615,0.5731666666666667
208,BS_40,BS_40_4_AC.pickle,15,pre late,0.521726027,0.5297197736819937
209,BS_40,BS_40_4_AC.pickle,18,pre late,0.563353606,0.5613838021081624
210,BS_40,BS_40_4_AC.pickle,29,pre late,0.5970004,0.4684756944444445
