,n_rep,categories,session,clust,accuracy,accuracy_std,accuracy_sem,weighted_accuracy,weighted_accuracy_std,weighted_accuracy_sem,shuffled_control_accuracy,shuffled_control_accuracy_std,shuffled_control_accuracy_sem,synthetic_control_accuracy,synthetic_control_accuracy_std,synthetic_control_accuracy_sem,pval_shuffled_control,pval_synthetic_control,fraction_empty_trials
1142,500,stimulus_off,BS_174_5_opto_AC.pickle,179,0.47456410256410253,0.06425424874093796,0.002876415215421388,0.47564464923813377,0.06468733820824742,0.0028958029626570654,0.5007358974358974,0.06969217708144211,0.0031198503208890766,0.49619102564102563,0.07888690482244493,0.0035314628647149455,2.44713997305977e-09,6.575852316890129e-06,0.5804615384615385
1143,500,stimulus_off,BS_174_5_opto_AC.pickle,185,0.5407243902439025,0.07211148711175061,0.0032281535120143538,0.5420364220460753,0.07224524825079737,0.0032341414829754247,0.5010073170731707,0.08026441397718254,0.003593128643549973,0.5031524390243902,0.07671338797760775,0.003434162887733329,8.812998344525093e-15,2.7329041902369165e-14,0.962860975609756
1144,500,stimulus_off,BS_174_5_opto_AC.pickle,188,0.5981621621621621,0.06260155064638992,0.0028024302877503386,0.592830805315119,0.06308590892219135,0.002824113142060062,0.501,0.07465664843599823,0.003342090580803138,0.49788438438438437,0.08599629103357302,0.0038497227007678876,2.2816222622139546e-80,1.52374605446944e-70,0.7384624624624625
1145,500,stimulus_off,BS_174_5_opto_AC.pickle,210,0.5861451612903227,0.07934637154047385,0.003552031419862896,0.579384281727513,0.0797212732343508,0.003568814324615276,0.5023467741935485,0.08534248483458831,0.0038204543156330957,0.49125604838709674,0.09433419979937552,0.0042229787594519775,4.0073820960893174e-48,1.480582061461313e-52,0.9099818548387096
1146,500,stimulus_off,BS_174_5_opto_AC.pickle,226,0.5963558558558558,0.07730852815305603,0.00346080502096984,0.5965806980917867,0.07735723023950772,0.003462985225784889,0.5102042042042042,0.08044183252482183,0.0036010709885299164,0.49788888888888894,0.07760285273301397,0.003473980798706762,5.131411541059062e-53,4.5688274787508105e-65,0.9861906906906907
1147,500,stimulus_off,BS_174_5_opto_AC.pickle,239,0.5990566502463055,0.08735798739029153,0.00391068060154486,0.597379674761974,0.08743298736811109,0.0039140380616596955,0.49658620689655175,0.08804786583806651,0.003941563802311425,0.494411330049261,0.09423553708427616,0.004218562009735538,1.5142975378058216e-58,3.282003552306223e-57,0.6725295566502464
1148,500,stimulus_off,BS_174_5_opto_AC.pickle,240,0.5048205128205128,0.10100467047741479,0.004521590037745702,0.4820734276231574,0.09900185133185069,0.004431931539250684,0.5176153846153845,0.1122700176827275,0.0050258962391770325,0.508525641025641,0.1448640087537814,0.006485003670750741,0.06276594957137649,0.6504431493300387,0.3283846153846154
1149,500,stimulus_off,BS_174_5_opto_AC.pickle,249,0.5007578347578348,0.08682577463114963,0.003886855486346496,0.49606447906963763,0.08671662989907457,0.0038819694971056976,0.4998119658119658,0.0959438518996818,0.004295036683769534,0.4987948717948718,0.09522932430504648,0.004263050035643991,0.6384485008002936,0.7130353626781416,0.7736324786324787
1150,500,stimulus_off,BS_174_5_opto_AC.pickle,263,0.6117566666666666,0.09426721893991924,0.004219980284377452,0.6087720674603175,0.0945096568225809,0.004230833294538604,0.49006333333333335,0.10826398493189383,0.004846561583745402,0.49472333333333335,0.09797440771276275,0.004385936846030511,1.562628149281198e-59,5.465506707699891e-62,0.8334900000000001
1151,500,stimulus_off,BS_174_5_opto_AC.pickle,267,0.6282860215053763,0.08438793229557984,0.00377772267529919,0.627051957448147,0.08443384357230861,0.003779777946312855,0.4977569892473118,0.09144271260730066,0.004093538015571937,0.4937354838709678,0.09179803423228632,0.004109444396060451,3.6882197513262835e-83,2.120373965730479e-85,0.911531182795699
1152,500,stimulus_off,BS_174_5_opto_AC.pickle,278,0.45280952380952383,0.1551564129246849,0.00694575496020736,0.4668851876234365,0.15623093053308013,0.006993856974604689,0.4845238095238095,0.15722851200931126,0.007038514854715045,0.5039047619047619,0.18202860406653867,0.008148719448731417,0.002585685777727679,4.6075786208100605e-06,0.3626190476190476
1153,500,stimulus_off,BS_174_5_opto_AC.pickle,284,0.5368809523809523,0.09908521207375337,0.004435663278568725,0.5386964630253396,0.09904271064901887,0.004433760653494447,0.5053714285714286,0.10183549225585939,0.004558782728527236,0.49431904761904766,0.10493516527630109,0.004697543150033014,1.0276856506879464e-06,7.34175520894279e-11,0.5527095238095238
1154,500,stimulus_off,BS_174_5_opto_AC.pickle,287,0.5013003003003003,0.07569189617144567,0.003388434634252079,0.5009581121451219,0.07585278157171375,0.0033956368539081842,0.5107927927927928,0.07941525978166218,0.0035551152810705286,0.49986186186186193,0.0865153195806602,0.00387295760957678,0.048072156394796325,0.7882552795906397,0.7792627627627629
1155,500,stimulus_off,BS_174_5_opto_AC.pickle,289,0.5309907692307692,0.09516037243958346,0.004259963326222656,0.5329575817730654,0.09492777024878016,0.004249550622099937,0.4997815384615385,0.0970561947393267,0.0043448319880710394,0.500203076923077,0.1037310424798888,0.00464363921059392,1.7245717985157263e-06,1.4763253894237154e-06,0.8086492307692308
1156,500,stimulus_off,BS_174_5_opto_AC.pickle,322,0.5270317460317461,0.0830768908859602,0.0037190324013862248,0.5264983070396604,0.08281647102259983,0.0037073744072139195,0.5018888888888889,0.09531479142830128,0.0042668760695416036,0.5020925925925926,0.0940520585874216,0.0042103483841715245,8.95567905377708e-06,8.357515698053096e-05,0.7753624338624339
1157,500,stimulus_off,BS_174_5_opto_AC.pickle,346,0.5181784615384614,0.07129367788597299,0.003191543343092716,0.5271288304093568,0.0720738991283532,0.0032264708427826704,0.5038307692307692,0.07754465634594462,0.003471375570624122,0.5007661538461539,0.09468975183703134,0.004238895454628209,0.0010955203336764107,0.0005890749581624782,0.3977446153846154
1158,500,stimulus_off,BS_174_5_opto_AC.pickle,348,0.526116935483871,0.07866130654834573,0.0035213636989647077,0.5264637067073294,0.07893095474749487,0.003533434810183683,0.5030201612903226,0.08024115020283601,0.0035920872139821275,0.501741935483871,0.092031962146048,0.004119916447693469,8.241962016749617e-06,2.7890188801107278e-05,0.7004334677419355
